id,quarter,avg_d,avg_u,avg_l,name
AL01,2019-01-01,11.06,6.22,33.29,Veri
AL01,2019-04-01,12.03,6.74,33.91,Veri
AL01,2019-07-01,13.3,7.18,30.14,Veri
AL01,2019-10-01,14.74,8.43,26.28,Veri
AL01,2020-01-01,15.07,9.43,28.3,Veri
AL01,2020-04-01,15.81,10.69,24.56,Veri
AL01,2020-07-01,18.8,12.56,20.06,Veri
AL01,2020-10-01,21.31,14.26,19.45,Veri
AL01,2021-01-01,23.77,15.4,17.51,Veri
AL01,2021-04-01,27.56,16.55,17.84,Veri
AL01,2021-07-01,27.68,16.11,18.1,Veri
AL01,2021-10-01,30.12,16.61,16.55,Veri
AL01,2022-01-01,34.1,19.37,17.39,Veri
AL01,2022-04-01,40.78,21.61,13.08,Veri
AL02,2019-01-01,18.24,7.94,24.28,Qender
AL02,2019-04-01,20.44,8.8,22.39,Qender
AL02,2019-07-01,21.16,9.35,21.6,Qender
AL02,2019-10-01,22.69,9.97,19.59,Qender
AL02,2020-01-01,23.1,9.95,18.87,Qender
AL02,2020-04-01,23.74,9.98,18.5,Qender
AL02,2020-07-01,26.7,11.52,14.46,Qender
AL02,2020-10-01,29.97,11.44,15.52,Qender
AL02,2021-01-01,34.38,13.04,15.1,Qender
AL02,2021-04-01,40.02,14.28,13.37,Qender
AL02,2021-07-01,41.15,14.73,13.84,Qender
AL02,2021-10-01,45.66,15.5,14.31,Qender
AL02,2022-01-01,51.07,18.69,12.86,Qender
AL02,2022-04-01,51.92,20.43,9.87,Qender
AL03,2019-01-01,13.74,7.53,28.16,Jug
AL03,2019-04-01,14.39,8.54,30.64,Jug
AL03,2019-07-01,14.32,8.2,33.26,Jug
AL03,2019-10-01,14.61,9.16,27.09,Jug
AL03,2020-01-01,16.43,11.28,24.61,Jug
AL03,2020-04-01,17.25,11.22,23.13,Jug
AL03,2020-07-01,18.92,12.14,19.18,Jug
AL03,2020-10-01,21.03,13.05,21.07,Jug
AL03,2021-01-01,23.12,14.53,20.83,Jug
AL03,2021-04-01,26.94,15.81,16.83,Jug
AL03,2021-07-01,26.75,15.12,16.29,Jug
AL03,2021-10-01,30.08,15.99,15.95,Jug
AL03,2022-01-01,32.6,17.63,14.19,Jug
AL03,2022-04-01,33.28,20.32,13.13,Jug
AT11,2019-01-01,33,10.79,23.17,Burgenland
AT11,2019-04-01,35.46,10.84,27.65,Burgenland
AT11,2019-07-01,42.33,11.13,19.18,Burgenland
AT11,2019-10-01,45.76,11.78,18.12,Burgenland
AT11,2020-01-01,51.54,13.29,17.31,Burgenland
AT11,2020-04-01,56.85,15.19,15.95,Burgenland
AT11,2020-07-01,51.41,14.28,16.16,Burgenland
AT11,2020-10-01,56.31,14.63,16.19,Burgenland
AT11,2021-01-01,64.33,15.57,15.35,Burgenland
AT11,2021-04-01,64.31,16.09,15.24,Burgenland
AT11,2021-07-01,62.22,15.29,17.18,Burgenland
AT11,2021-10-01,71.55,17.13,16.22,Burgenland
AT11,2022-01-01,73.77,17.91,15.83,Burgenland
AT11,2022-04-01,76.06,17.63,15.49,Burgenland
AT12,2019-01-01,29.62,11.22,27.29,Niederösterreich
AT12,2019-04-01,34.3,12.75,25.28,Niederösterreich
AT12,2019-07-01,38.4,14.79,18.31,Niederösterreich
AT12,2019-10-01,41.51,14.97,16,Niederösterreich
AT12,2020-01-01,44.12,14.61,14.59,Niederösterreich
AT12,2020-04-01,48.65,14.16,14.79,Niederösterreich
AT12,2020-07-01,50.35,15.31,14.9,Niederösterreich
AT12,2020-10-01,52.52,15.29,15.14,Niederösterreich
AT12,2021-01-01,55.33,15.89,14.13,Niederösterreich
AT12,2021-04-01,63.13,17.19,14.38,Niederösterreich
AT12,2021-07-01,64.19,18.58,15.12,Niederösterreich
AT12,2021-10-01,69.25,19.12,14.46,Niederösterreich
AT12,2022-01-01,73.32,19.95,14.84,Niederösterreich
AT12,2022-04-01,74.95,20.12,14.06,Niederösterreich
AT13,2019-01-01,50.48,12.78,22.08,Wien
AT13,2019-04-01,58.25,14.09,20.67,Wien
AT13,2019-07-01,53.34,15.62,15.99,Wien
AT13,2019-10-01,67.37,15.93,14.11,Wien
AT13,2020-01-01,69.42,15.8,12.81,Wien
AT13,2020-04-01,67.92,16.4,12.05,Wien
AT13,2020-07-01,81.43,19.02,10.86,Wien
AT13,2020-10-01,88.96,22.02,11.24,Wien
AT13,2021-01-01,96.14,24.38,10.89,Wien
AT13,2021-04-01,111.12,25.86,11.2,Wien
AT13,2021-07-01,112.49,26.48,11.57,Wien
AT13,2021-10-01,117.66,27.5,11.2,Wien
AT13,2022-01-01,125.72,28.27,11.06,Wien
AT13,2022-04-01,124.82,29.1,11.25,Wien
AT21,2019-01-01,27.97,10.13,36.47,Kärnten
AT21,2019-04-01,28.16,10.17,37.62,Kärnten
AT21,2019-07-01,26.3,9.45,29.9,Kärnten
AT21,2019-10-01,33.99,10.91,26.28,Kärnten
AT21,2020-01-01,34.59,10.44,24.39,Kärnten
AT21,2020-04-01,39.73,11.29,23.91,Kärnten
AT21,2020-07-01,39.16,11.62,24.97,Kärnten
AT21,2020-10-01,44.9,12.93,21.95,Kärnten
AT21,2021-01-01,48.19,13.6,19.83,Kärnten
AT21,2021-04-01,55.14,14.81,20.42,Kärnten
AT21,2021-07-01,50.72,14.52,20.93,Kärnten
AT21,2021-10-01,60.21,15.65,19.78,Kärnten
AT21,2022-01-01,62.99,16.34,19.99,Kärnten
AT21,2022-04-01,62.7,16.03,20.78,Kärnten
AT22,2019-01-01,28.59,9.97,32.99,Steiermark
AT22,2019-04-01,31.65,10.48,31.4,Steiermark
AT22,2019-07-01,30.17,10.01,23.82,Steiermark
AT22,2019-10-01,36.25,10.89,22.22,Steiermark
AT22,2020-01-01,37.23,10.64,20.13,Steiermark
AT22,2020-04-01,39.85,11.27,20.57,Steiermark
AT22,2020-07-01,42.73,11.83,20.2,Steiermark
AT22,2020-10-01,46.71,13.05,19.27,Steiermark
AT22,2021-01-01,51.04,14.07,17.06,Steiermark
AT22,2021-04-01,55.39,14.63,17.25,Steiermark
AT22,2021-07-01,53.84,15.1,18.11,Steiermark
AT22,2021-10-01,61.45,15.94,17.9,Steiermark
AT22,2022-01-01,63.98,17.04,18.6,Steiermark
AT22,2022-04-01,66.62,18.31,18.2,Steiermark
AT31,2019-01-01,32.52,10.9,34.22,Oberösterreich
AT31,2019-04-01,34.5,11.19,30.46,Oberösterreich
AT31,2019-07-01,38.55,11.61,22.33,Oberösterreich
AT31,2019-10-01,40.35,12.5,20.84,Oberösterreich
AT31,2020-01-01,40.83,12.6,18.98,Oberösterreich
AT31,2020-04-01,43.26,12.82,19.88,Oberösterreich
AT31,2020-07-01,45.09,13.86,18.14,Oberösterreich
AT31,2020-10-01,49.23,15.41,17.39,Oberösterreich
AT31,2021-01-01,53.13,15.65,15.62,Oberösterreich
AT31,2021-04-01,58.81,17.04,15.5,Oberösterreich
AT31,2021-07-01,59.47,18.87,16.3,Oberösterreich
AT31,2021-10-01,63.25,20.48,15.98,Oberösterreich
AT31,2022-01-01,67.65,22.1,14.95,Oberösterreich
AT31,2022-04-01,70.41,23.4,15.37,Oberösterreich
AT32,2019-01-01,24.56,9.91,30.77,Salzburg
AT32,2019-04-01,27.08,10.43,29.12,Salzburg
