id,name,quarter,avg_d,avg_u,avg_l
HR,Hrvatska,2020-07-01,30.13,14.69,26.01
HR,Hrvatska,2020-10-01,37.26,17.65,21.42
HR,Hrvatska,2021-01-01,43.1,20.62,18.99
HR,Hrvatska,2021-04-01,48.04,24.29,19.13
HR,Hrvatska,2021-07-01,47.65,25.79,20.6
HR,Hrvatska,2021-10-01,66.51,35.32,16.21
HR,Hrvatska,2022-01-01,73.97,38.81,16.05
HU,Magyarország,2019-01-01,84.91,35.97,15.89
HU,Magyarország,2019-04-01,83.34,36.99,17.31
HU,Magyarország,2019-07-01,87.03,39.99,15.16
HU,Magyarország,2019-10-01,91.07,42.87,13.81
HU,Magyarország,2020-01-01,90.54,43.61,13.51
HU,Magyarország,2020-04-01,92.34,45.32,13.76
HU,Magyarország,2020-07-01,97.76,46.77,14.11
HU,Magyarország,2020-10-01,111.89,58.06,13.04
HU,Magyarország,2021-01-01,128.17,64.78,12.5
HU,Magyarország,2021-04-01,139.86,65.1,12.97
HU,Magyarország,2021-07-01,144.62,68.71,13.18
HU,Magyarország,2021-10-01,161.97,79.47,12.4
HU,Magyarország,2022-01-01,170.98,85.01,12.39
IE,Éire/Ireland,2019-01-01,47.45,17.74,34.99
IE,Éire/Ireland,2019-04-01,57,19.23,32.17
IE,Éire/Ireland,2019-07-01,66.74,19.84,28.44
IE,Éire/Ireland,2019-10-01,67.98,23.36,25.86
IE,Éire/Ireland,2020-01-01,67.41,22.67,26.23
IE,Éire/Ireland,2020-04-01,69.56,22.87,25.72
IE,Éire/Ireland,2020-07-01,75.18,24.33,21.8
IE,Éire/Ireland,2020-10-01,80.93,25.26,20.93
IE,Éire/Ireland,2021-01-01,85.23,25.78,25.24
IE,Éire/Ireland,2021-04-01,105.28,28.92,22.1
IE,Éire/Ireland,2021-07-01,109.5,29.38,17.7
IE,Éire/Ireland,2021-10-01,116.47,30.78,18.91
IE,Éire/Ireland,2022-01-01,122.98,31.93,18.26
IS,Ísland,2019-01-01,100.26,91.93,10.81
IS,Ísland,2019-04-01,92.72,85.18,14.13
IS,Ísland,2019-07-01,97.94,93.82,9.59
IS,Ísland,2019-10-01,116.05,117.36,6.54
IS,Ísland,2020-01-01,126.07,127.24,6.52
IS,Ísland,2020-04-01,139.79,134.17,6.75
IS,Ísland,2020-07-01,136.28,128.23,7.37
IS,Ísland,2020-10-01,165.17,153.53,5.18
IS,Ísland,2021-01-01,181.23,165.17,5.1
IS,Ísland,2021-04-01,182.44,164.13,5.06
IS,Ísland,2021-07-01,167.15,149.98,6.84
IS,Ísland,2021-10-01,187.87,171.64,5.07
IS,Ísland,2022-01-01,214.64,191.66,4.77
IT,Italia,2019-01-01,44.69,16.7,32.86
IT,Italia,2019-04-01,46.13,17.85,33.57
IT,Italia,2019-07-01,45.91,18.39,31.45
IT,Italia,2019-10-01,50.7,20.74,26.09
IT,Italia,2020-01-01,49.23,20.39,28.73
IT,Italia,2020-04-01,51.75,21.47,27.75
IT,Italia,2020-07-01,57.77,24.61,24.63
IT,Italia,2020-10-01,64.03,28.08,23.82
IT,Italia,2021-01-01,72.04,31.44,23.21
IT,Italia,2021-04-01,86.08,35.39,21.27
IT,Italia,2021-07-01,86.95,38.07,21.95
IT,Italia,2021-10-01,97.81,43.59,20.94
IT,Italia,2022-01-01,108.41,51.42,20.3
LI,Liechtenstein,2019-01-01,69.45,37.88,14.59
LI,Liechtenstein,2019-04-01,75.71,42.4,16.5
LI,Liechtenstein,2019-07-01,81.53,54.18,11.12
LI,Liechtenstein,2019-10-01,93.48,64.68,10.39
LI,Liechtenstein,2020-01-01,86.2,60.21,10.98
LI,Liechtenstein,2020-04-01,93.06,56.9,9.51
LI,Liechtenstein,2020-07-01,102.97,75.56,8.67
