id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2021-04-01,27.56,16.55,17.84
AL02,Qender,2021-04-01,40.02,14.28,13.37
AL03,Jug,2021-04-01,26.94,15.81,16.83
AT11,Burgenland,2021-04-01,64.31,16.09,15.24
AT12,Niederösterreich,2021-04-01,63.13,17.19,14.38
AT13,Wien,2021-04-01,111.12,25.86,11.2
AT21,Kärnten,2021-04-01,55.14,14.81,20.42
AT22,Steiermark,2021-04-01,55.39,14.63,17.25
AT31,Oberösterreich,2021-04-01,58.81,17.04,15.5
AT32,Salzburg,2021-04-01,55.29,14.25,15.03
AT33,Tirol,2021-04-01,NA,13.26,16.41
AT34,Vorarlberg,2021-04-01,72.09,17.9,27.97
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2021-04-01,101.18,17.88,12.38
BE21,Prov. Antwerpen,2021-04-01,124.51,20.42,12.75
BE22,Prov. Limburg (BE),2021-04-01,120.47,19.97,13.23
BE23,Prov. Oost-Vlaanderen,2021-04-01,121.87,19.97,13.4
BE24,Prov. Vlaams-Brabant,2021-04-01,122.33,19.83,12.82
BE25,Prov. West-Vlaanderen,2021-04-01,114.92,19.55,14.57
BE31,Prov. Brabant Wallon,2021-04-01,86.72,14.37,14.5
BE32,Prov. Hainaut,2021-04-01,88.75,16.48,14.19
BE33,Prov. Liège,2021-04-01,86.79,13.74,15.9
BE34,Prov. Luxembourg (BE),2021-04-01,71.2,13.3,21.52
BE35,Prov. Namur,2021-04-01,86.52,14.54,17.4
BG31,Severozapaden,2021-04-01,57.69,44.98,12.53
BG32,Severen tsentralen,2021-04-01,53.07,46.97,14.07
BG33,Severoiztochen,2021-04-01,57.11,43.41,12.28
BG34,Yugoiztochen,2021-04-01,50.52,41.74,9.82
BG41,Yugozapaden,2021-04-01,73.76,56.4,5.44
BG42,Yuzhen tsentralen,2021-04-01,55.53,50.52,9.12
CH01,Région lémanique,2021-04-01,177.94,114.64,8.79
CH02,Espace Mittelland,2021-04-01,161.44,84.92,11.05
CH03,Nordwestschweiz,2021-04-01,166.05,81.22,10.22
CH04,Zürich,2021-04-01,198.8,117.99,8.03
CH05,Ostschweiz,2021-04-01,155.42,90.89,10.69
CH06,Zentralschweiz,2021-04-01,174.28,101.65,9.08
CH07,Ticino,2021-04-01,129.18,76.22,13.53
CY00,Kýpros,2021-04-01,39.06,14.18,16.97
CZ01,Praha,2021-04-01,107.17,32.53,11.08
CZ02,Střední Čechy,2021-04-01,50.13,25.63,15.3
CZ03,Jihozápad,2021-04-01,62.59,37.03,13.35
CZ04,Severozápad,2021-04-01,65.62,30.87,15.36
CZ05,Severovýchod,2021-04-01,51.91,23.68,16.2
CZ06,Jihovýchod,2021-04-01,62.37,26.32,15.95
