id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2020-01-01,15.07,9.43,28.3
AL02,Qender,2020-01-01,23.1,9.95,18.87
AL03,Jug,2020-01-01,16.43,11.28,24.61
AT11,Burgenland,2020-01-01,51.54,13.29,17.31
AT12,Niederösterreich,2020-01-01,44.12,14.61,14.59
AT13,Wien,2020-01-01,69.42,15.8,12.81
AT21,Kärnten,2020-01-01,34.59,10.44,24.39
AT22,Steiermark,2020-01-01,37.23,10.64,20.13
AT31,Oberösterreich,2020-01-01,40.83,12.6,18.98
AT32,Salzburg,2020-01-01,35.48,11.53,18.75
AT33,Tirol,2020-01-01,38.93,11.3,25.31
AT34,Vorarlberg,2020-01-01,44.15,11.27,31.2
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2020-01-01,66.95,14.41,14.12
BE21,Prov. Antwerpen,2020-01-01,93.83,16.95,13.71
BE22,Prov. Limburg (BE),2020-01-01,91.12,16.4,15.29
BE23,Prov. Oost-Vlaanderen,2020-01-01,91.72,16.55,15.06
BE24,Prov. Vlaams-Brabant,2020-01-01,87.23,16.47,13.68
BE25,Prov. West-Vlaanderen,2020-01-01,80.11,16.28,16.23
BE31,Prov. Brabant Wallon,2020-01-01,59.46,12.08,13.3
BE32,Prov. Hainaut,2020-01-01,56.42,12.18,15.8
BE33,Prov. Liège,2020-01-01,56.44,11.08,16.4
BE34,Prov. Luxembourg (BE),2020-01-01,43.43,11.73,23.46
BE35,Prov. Namur,2020-01-01,52.25,11.65,20.62
BG31,Severozapaden,2020-01-01,40.68,31.77,12.09
BG32,Severen tsentralen,2020-01-01,41.26,38.9,16.68
BG33,Severoiztochen,2020-01-01,36.45,28.82,19.63
BG34,Yugoiztochen,2020-01-01,34.63,31.08,12.79
BG41,Yugozapaden,2020-01-01,44.54,33.17,6.59
BG42,Yuzhen tsentralen,2020-01-01,41.19,38.31,10.99
CH01,Région lémanique,2020-01-01,112.86,75.3,11.67
CH02,Espace Mittelland,2020-01-01,111.17,56.95,13.2
CH03,Nordwestschweiz,2020-01-01,118.39,55.75,11.24
CH04,Zürich,2020-01-01,131.69,81.09,9.53
CH05,Ostschweiz,2020-01-01,99.1,57.29,13.04
CH06,Zentralschweiz,2020-01-01,112.4,62.95,11.25
CH07,Ticino,2020-01-01,90.54,54.64,18.15
CY00,Kýpros,2020-01-01,21.06,5.41,21.88
CZ01,Praha,2020-01-01,62.37,23.9,12.17
CZ02,Střední Čechy,2020-01-01,33.61,21.6,17
CZ03,Jihozápad,2020-01-01,35.6,28.81,16.1
CZ04,Severozápad,2020-01-01,40.24,25.06,16.44
CZ05,Severovýchod,2020-01-01,29.42,16.62,18.89
CZ06,Jihovýchod,2020-01-01,38.36,18.98,18.57
CZ07,Střední Morava,2020-01-01,31.56,16.92,21.27
CZ08,Moravskoslezsko,2020-01-01,34.32,17.11,25.43
DE11,Stuttgart,2020-01-01,63.35,15.73,19.6
DE12,Karlsruhe,2020-01-01,78.61,15.54,18.97
DE13,Freiburg,2020-01-01,72.54,15.72,25.07
DE14,Tübingen,2020-01-01,58.95,13.59,25.06
DE21,Oberbayern,2020-01-01,73.34,21.61,17.5
DE22,Niederbayern,2020-01-01,63.28,19.7,20.76
DE23,Oberpfalz,2020-01-01,62.2,17.66,22.6
