id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2020-07-01,18.8,12.56,20.06
AL02,Qender,2020-07-01,26.7,11.52,14.46
AL03,Jug,2020-07-01,18.92,12.14,19.18
AT11,Burgenland,2020-07-01,51.41,14.28,16.16
AT12,Niederösterreich,2020-07-01,50.35,15.31,14.9
AT13,Wien,2020-07-01,81.43,19.02,10.86
AT21,Kärnten,2020-07-01,39.16,11.62,24.97
AT22,Steiermark,2020-07-01,42.73,11.83,20.2
AT31,Oberösterreich,2020-07-01,45.09,13.86,18.14
AT32,Salzburg,2020-07-01,38.79,12.4,17.63
AT33,Tirol,2020-07-01,53.48,13.3,22.23
AT34,Vorarlberg,2020-07-01,56.9,14.34,31.57
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2020-07-01,78.09,16.53,14.52
BE21,Prov. Antwerpen,2020-07-01,98.05,18.29,13.47
BE22,Prov. Limburg (BE),2020-07-01,92.49,18.41,16.24
BE23,Prov. Oost-Vlaanderen,2020-07-01,98.08,18.43,15.02
BE24,Prov. Vlaams-Brabant,2020-07-01,94.1,17.92,14.11
BE25,Prov. West-Vlaanderen,2020-07-01,85.6,17.04,16.75
BE31,Prov. Brabant Wallon,2020-07-01,66.66,14.37,14.36
BE32,Prov. Hainaut,2020-07-01,63.87,14.28,15.08
BE33,Prov. Liège,2020-07-01,59.57,13,16.74
BE34,Prov. Luxembourg (BE),2020-07-01,40.17,12.93,23.53
BE35,Prov. Namur,2020-07-01,64.94,13.62,19.4
BG31,Severozapaden,2020-07-01,40.6,33.08,12.65
BG32,Severen tsentralen,2020-07-01,39.76,37.59,15.05
BG33,Severoiztochen,2020-07-01,35.29,26.56,17.01
BG34,Yugoiztochen,2020-07-01,33.56,28.85,11.1
BG41,Yugozapaden,2020-07-01,52.46,38.23,6.01
BG42,Yuzhen tsentralen,2020-07-01,43.11,37.83,10.79
CH01,Région lémanique,2020-07-01,126.3,84.54,9.71
CH02,Espace Mittelland,2020-07-01,117.91,63.35,11.75
CH03,Nordwestschweiz,2020-07-01,125.42,62.14,10.28
CH04,Zürich,2020-07-01,144.15,88.33,8.22
CH05,Ostschweiz,2020-07-01,108.77,64.74,12.21
CH06,Zentralschweiz,2020-07-01,118.83,68.87,10.73
CH07,Ticino,2020-07-01,98.04,64.81,16.34
CY00,Kýpros,2020-07-01,22.95,7.32,19.22
CZ01,Praha,2020-07-01,76.59,27.02,11.34
CZ02,Střední Čechy,2020-07-01,38.47,22.58,15.93
CZ03,Jihozápad,2020-07-01,37,25.14,15.62
CZ04,Severozápad,2020-07-01,46.54,26.32,15.98
CZ05,Severovýchod,2020-07-01,31.69,18.08,18.08
CZ06,Jihovýchod,2020-07-01,42.64,20.98,17.19
CZ07,Střední Morava,2020-07-01,34.81,18.99,19.67
CZ08,Moravskoslezsko,2020-07-01,39.16,21.04,21.5
DE11,Stuttgart,2020-07-01,94.68,19.02,18.45
DE12,Karlsruhe,2020-07-01,93.48,18.53,17.42
DE13,Freiburg,2020-07-01,76.94,18.33,23.04
DE14,Tübingen,2020-07-01,76.3,15.75,23.16
DE21,Oberbayern,2020-07-01,84.22,24.1,14.24
DE22,Niederbayern,2020-07-01,62.99,19.7,18.37
DE23,Oberpfalz,2020-07-01,68.79,19.41,19.33
DE24,Oberfranken,2020-07-01,71.39,19.39,19.02
DE25,Mittelfranken,2020-07-01,78.23,21.23,17.77
DE26,Unterfranken,2020-07-01,70.09,20.79,18.58
DE27,Schwaben,2020-07-01,74.28,20.16,18.01
DE30,Berlin,2020-07-01,93.29,20.18,19.11
DE40,Brandenburg,2020-07-01,61.22,16.93,20.33
DE50,Bremen,2020-07-01,102.92,22.17,20.28
DE60,Hamburg,2020-07-01,90.74,23.54,14.28
DE71,Darmstadt,2020-07-01,95.23,21.68,13.81
DE72,Gießen,2020-07-01,71.18,21,14.63
DE73,Kassel,2020-07-01,72.71,24.57,19.57
DE80,Mecklenburg-Vorpommern,2020-07-01,54.95,17.44,26.32
DE91,Braunschweig,2020-07-01,76.52,27.74,20.14
DE92,Hannover,2020-07-01,78.15,24.63,21.14
DE93,Lüneburg,2020-07-01,75.73,24.96,21.56
DE94,Weser-Ems,2020-07-01,67.78,25.36,24.18
DEA1,Düsseldorf,2020-07-01,94.1,26.85,14.09
DEA2,Köln,2020-07-01,77.63,23.84,15.66
DEA3,Münster,2020-07-01,90.03,34.23,16.91
DEA4,Detmold,2020-07-01,75.82,21.79,22.81
DEA5,Arnsberg,2020-07-01,86.42,19.67,17.56
DEB1,Koblenz,2020-07-01,64.2,17.45,20.01
DEB2,Trier,2020-07-01,55.29,17.51,24.95
DEB3,Rheinhessen-Pfalz,2020-07-01,84.2,20.23,18.33
DEC0,Saarland,2020-07-01,78.77,18.66,21.53
DED2,Dresden,2020-07-01,57.5,17.3,22.12
DED4,Chemnitz,2020-07-01,55.27,15.85,22.21
DED5,Leipzig,2020-07-01,78.22,23.38,19.59
DEE0,Sachsen-Anhalt,2020-07-01,55.19,16.82,22.29
DEF0,Schleswig-Holstein,2020-07-01,79.51,27.46,19.1
DEG0,Thüringen,2020-07-01,53.61,16.09,25.01
DK01,Hovedstaden,2020-07-01,121.94,76.33,11.54
DK02,Sjælland,2020-07-01,118.41,100.99,9.71
DK03,Syddanmark,2020-07-01,97.22,82.01,11.37
DK04,Midtjylland,2020-07-01,119.73,90.99,11.43
DK05,Nordjylland,2020-07-01,95.76,83.83,13.15
EE00,Eesti,2020-07-01,61.85,46.9,11.4
EL30,Attiki,2020-07-01,30.66,6.01,23.14
EL41,Voreio Aigaio,2020-07-01,17.77,3.58,72.3
EL42,Notio Aigaio,2020-07-01,19.3,5.4,71.9
EL43,Kriti,2020-07-01,17.86,4.6,35.46
EL51,"Anatoliki Makedonia, Thraki",2020-07-01,22.1,4.28,47.6
EL52,Kentriki Makedonia,2020-07-01,25.17,7.35,32.14
EL53,Dytiki Makedonia,2020-07-01,19.33,3.46,42.76
EL54,Ipeiros,2020-07-01,18.17,3.34,47.63
EL61,Thessalia,2020-07-01,20.97,3.84,36.43
EL62,Ionia Nisia,2020-07-01,14.61,3.59,61.3
EL63,Dytiki Elláda,2020-07-01,19.44,3.46,38.67
EL64,Sterea Elláda,2020-07-01,17.5,3.02,40.22
EL65,Peloponnisos,2020-07-01,18.52,4.18,38.82
ES11,Galicia,2020-07-01,82.59,74.67,36.64
ES12,Principado de Asturias,2020-07-01,85.89,66.86,30.55
ES13,Cantabria,2020-07-01,92.81,93.1,34.66
ES21,País Vasco,2020-07-01,130.64,102.56,18.13
ES22,Comunidad Foral de Navarra,2020-07-01,121.14,109.5,29.21
ES23,La Rioja,2020-07-01,119.07,106.15,24.55
ES24,Aragón,2020-07-01,91.15,94.04,29.17
ES30,Comunidad de Madrid,2020-07-01,164.58,154.14,8.04
ES41,Castilla y León,2020-07-01,101.75,89.52,33.39
ES42,Castilla-La Mancha,2020-07-01,113.03,103.93,21.31
ES43,Extremadura,2020-07-01,99.66,96.17,30.07
ES51,Cataluña,2020-07-01,128.97,119.52,18.51
ES52,Comunitat Valenciana,2020-07-01,87.41,78.1,25.33
ES53,Illes Balears,2020-07-01,89.03,81.53,29.68
ES61,Andalucía,2020-07-01,94.27,90.7,29.26
ES62,Región de Murcia,2020-07-01,91.88,82.39,24.84
ES63,Ciudad de Ceuta,2020-07-01,147.18,139.92,26.76
ES64,Ciudad de Melilla,2020-07-01,110.14,121.89,28.22
ES70,Canarias,2020-07-01,70.35,74.6,31.59
FI19,Länsi-Suomi,2020-07-01,65.3,28.22,19.57
FI1B,Helsinki-Uusimaa,2020-07-01,77.18,28.94,15.02
FI1C,Etelä-Suomi,2020-07-01,65.3,30.31,20.7
FI1D,Pohjois- ja Itä-Suomi,2020-07-01,76.17,40.54,23.27
FI20,Åland,2020-07-01,74.2,57.58,9.52
FR10,Ile-de-France,2020-07-01,158.89,127.35,10.12
FRB0,Centre — Val de Loire,2020-07-01,104.03,84.01,25.33
FRC1,Bourgogne,2020-07-01,68.78,50.75,46.11
FRC2,Franche-Comté,2020-07-01,89.89,69.6,36.39
FRD1,Basse-Normandie,2020-07-01,64.43,51.09,40.77
FRD2,Haute-Normandie,2020-07-01,83,63.34,28.95
FRE1,Nord-Pas de Calais,2020-07-01,139.88,117.44,15.58
FRE2,Picardie,2020-07-01,131.68,118.52,17.98
FRF1,Alsace,2020-07-01,115.43,87.85,21.33
FRF2,Champagne-Ardenne,2020-07-01,97.58,76.46,28.28
FRF3,Lorraine,2020-07-01,91.63,66.89,29.16
FRG0,Pays de la Loire,2020-07-01,86.99,70.28,30.62
FRH0,Bretagne,2020-07-01,67.16,53.37,37.39
FRI1,Aquitaine,2020-07-01,72.68,54.32,41.73
FRI2,Limousin,2020-07-01,61.05,46.2,52.2
FRI3,Poitou-Charentes,2020-07-01,65.2,52.72,39.88
FRJ1,Languedoc-Roussillon,2020-07-01,71.19,56.72,43.48
FRJ2,Midi-Pyrénées,2020-07-01,87.26,72.09,44.32
FRK1,Auvergne,2020-07-01,87.34,73.55,36.51
FRK2,Rhône-Alpes,2020-07-01,99.13,81.85,30.04
FRL0,Provence-Alpes-Côte d’Azur,2020-07-01,89.66,69.35,35.66
