id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2019-01-01,11.06,6.22,33.29
AL02,Qender,2019-01-01,18.24,7.94,24.28
AL03,Jug,2019-01-01,13.74,7.53,28.16
AT11,Burgenland,2019-01-01,33,10.79,23.17
AT12,Niederösterreich,2019-01-01,29.62,11.22,27.29
AT13,Wien,2019-01-01,50.48,12.78,22.08
AT21,Kärnten,2019-01-01,27.97,10.13,36.47
AT22,Steiermark,2019-01-01,28.59,9.97,32.99
AT31,Oberösterreich,2019-01-01,32.52,10.9,34.22
AT32,Salzburg,2019-01-01,24.56,9.91,30.77
AT33,Tirol,2019-01-01,32.07,9.94,33.71
AT34,Vorarlberg,2019-01-01,36.06,9.8,49.12
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2019-01-01,54.57,14.16,16.95
BE21,Prov. Antwerpen,2019-01-01,71.26,15.93,17.62
BE22,Prov. Limburg (BE),2019-01-01,69.49,15.13,17.36
BE23,Prov. Oost-Vlaanderen,2019-01-01,70.21,15.32,16.72
BE24,Prov. Vlaams-Brabant,2019-01-01,70.4,15.52,15.87
BE25,Prov. West-Vlaanderen,2019-01-01,64.64,14.66,17.93
BE31,Prov. Brabant Wallon,2019-01-01,54.83,12.09,15.51
BE32,Prov. Hainaut,2019-01-01,54.96,10.72,18.34
BE33,Prov. Liège,2019-01-01,51.9,10.09,20.71
BE34,Prov. Luxembourg (BE),2019-01-01,42.21,10.25,23.71
BE35,Prov. Namur,2019-01-01,47.8,10.76,24.3
BG31,Severozapaden,2019-01-01,36.4,28.31,14.96
BG32,Severen tsentralen,2019-01-01,39.35,37.59,22.18
BG33,Severoiztochen,2019-01-01,34.06,22.63,20.5
BG34,Yugoiztochen,2019-01-01,34.59,29.33,16.19
BG41,Yugozapaden,2019-01-01,43.88,30.04,7.7
BG42,Yuzhen tsentralen,2019-01-01,41.11,36.63,14.26
CH01,Région lémanique,2019-01-01,85.94,52.7,18.39
CH02,Espace Mittelland,2019-01-01,85.77,43.43,18.24
CH03,Nordwestschweiz,2019-01-01,92.09,41.36,15.75
CH04,Zürich,2019-01-01,103.86,60.94,13.26
CH05,Ostschweiz,2019-01-01,72.34,38.97,19.58
CH06,Zentralschweiz,2019-01-01,87.8,41.95,16.83
CH07,Ticino,2019-01-01,76.83,39.95,23.3
CY00,Kýpros,2019-01-01,17.93,4.43,26.35
CZ01,Praha,2019-01-01,50.51,20.94,15.58
CZ02,Střední Čechy,2019-01-01,29.11,16.02,23.12
CZ03,Jihozápad,2019-01-01,33.08,23.49,21.64
CZ04,Severozápad,2019-01-01,41.12,15.31,23.75
CZ05,Severovýchod,2019-01-01,25.76,13.03,27.18
CZ06,Jihovýchod,2019-01-01,36.56,17.1,20.24
CZ07,Střední Morava,2019-01-01,29.12,15.24,23.26
CZ08,Moravskoslezsko,2019-01-01,30.57,14.78,28.65
DE11,Stuttgart,2019-01-01,53.62,12.68,22.07
DE12,Karlsruhe,2019-01-01,54.26,11.99,21.43
DE13,Freiburg,2019-01-01,51.87,12.49,29.51
DE14,Tübingen,2019-01-01,49.61,11.13,30
DE21,Oberbayern,2019-01-01,52.5,16.8,22.55
DE22,Niederbayern,2019-01-01,45.34,14.09,25.91
DE23,Oberpfalz,2019-01-01,51.54,13.74,26.73
DE24,Oberfranken,2019-01-01,56.87,14.41,24.81
DE25,Mittelfranken,2019-01-01,55.56,15.39,26.08
DE26,Unterfranken,2019-01-01,49.99,14.92,21.87
DE27,Schwaben,2019-01-01,45.77,13.25,27.4
DE30,Berlin,2019-01-01,57.88,14.45,18.66
DE40,Brandenburg,2019-01-01,41.11,12.15,24.82
DE50,Bremen,2019-01-01,64.86,17.46,22.13
DE60,Hamburg,2019-01-01,57.16,19.76,16.1
DE71,Darmstadt,2019-01-01,64.14,14.62,16.75
DE72,Gießen,2019-01-01,53.33,14.88,17.37
DE73,Kassel,2019-01-01,45.42,12.22,28.8
DE80,Mecklenburg-Vorpommern,2019-01-01,36.63,12.55,37.75
DE91,Braunschweig,2019-01-01,47.74,14.02,27.08
DE92,Hannover,2019-01-01,51.9,14.76,21.95
DE93,Lüneburg,2019-01-01,50.36,19.57,25.44
DE94,Weser-Ems,2019-01-01,44.45,17.58,27.33
DEA1,Düsseldorf,2019-01-01,65.35,19.82,17.72
DEA2,Köln,2019-01-01,53.87,16.72,20.5
DEA3,Münster,2019-01-01,59.23,24.46,19.51
DEA4,Detmold,2019-01-01,45.89,13.52,26.15
DEA5,Arnsberg,2019-01-01,58.68,12.93,22.22
DEB1,Koblenz,2019-01-01,46.73,12.72,21.69
DEB2,Trier,2019-01-01,44.07,13.26,27.53
DEB3,Rheinhessen-Pfalz,2019-01-01,53.38,12.92,22.06
DEC0,Saarland,2019-01-01,50.7,12.29,25.93
DED2,Dresden,2019-01-01,43.6,14.5,31.15
DED4,Chemnitz,2019-01-01,35.58,12.26,32.16
DED5,Leipzig,2019-01-01,46.95,14.56,28.53
DEE0,Sachsen-Anhalt,2019-01-01,36.18,11.07,32.38
DEF0,Schleswig-Holstein,2019-01-01,51.72,21.32,22.4
DEG0,Thüringen,2019-01-01,37.35,12.06,32.89
DK01,Hovedstaden,2019-01-01,82.63,51.38,14.63
DK02,Sjælland,2019-01-01,74.19,56.89,15.45
DK03,Syddanmark,2019-01-01,64.79,49.5,13.51
DK04,Midtjylland,2019-01-01,86.04,67.44,13.3
DK05,Nordjylland,2019-01-01,77.87,62.86,15.08
EE00,Eesti,2019-01-01,45.82,31.7,22.06
EL30,Attiki,2019-01-01,24.2,4.4,28.79
EL41,Voreio Aigaio,2019-01-01,15.83,2.74,60.84
EL42,Notio Aigaio,2019-01-01,16.84,2.74,56.49
EL43,Kriti,2019-01-01,16.75,2.91,40.39
EL51,"Anatoliki Makedonia, Thraki",2019-01-01,17.95,2.77,47.38
EL52,Kentriki Makedonia,2019-01-01,17.83,4.46,47.5
EL53,Dytiki Makedonia,2019-01-01,14.1,2.39,51.19
EL54,Ipeiros,2019-01-01,14.3,2.56,60.49
EL61,Thessalia,2019-01-01,16.86,3.5,47.85
EL62,Ionia Nisia,2019-01-01,13.35,2.35,76.85
EL63,Dytiki Elláda,2019-01-01,15.52,2.43,40.11
EL64,Sterea Elláda,2019-01-01,16.47,2.57,44.87
EL65,Peloponnisos,2019-01-01,17.39,3.11,39.49
ES11,Galicia,2019-01-01,81.28,60.34,43.16
ES12,Principado de Asturias,2019-01-01,93.23,63.29,27.9
ES13,Cantabria,2019-01-01,89.71,77.27,36.64
ES21,País Vasco,2019-01-01,105.98,78.7,24.09
ES22,Comunidad Foral de Navarra,2019-01-01,111.75,82.06,31.03
ES23,La Rioja,2019-01-01,119.72,92.37,28.95
ES24,Aragón,2019-01-01,103.43,89.6,33.01
ES30,Comunidad de Madrid,2019-01-01,134.99,123.44,10.2
ES41,Castilla y León,2019-01-01,95.31,79.9,29.69
ES42,Castilla-La Mancha,2019-01-01,88.63,79.96,29.55
ES43,Extremadura,2019-01-01,78.18,75.75,40.3
ES51,Cataluña,2019-01-01,103.58,95.66,20.27
ES52,Comunitat Valenciana,2019-01-01,64.78,51.91,31.25
ES53,Illes Balears,2019-01-01,83.95,69.6,31.61
ES61,Andalucía,2019-01-01,78.54,70.51,33.22
ES62,Región de Murcia,2019-01-01,59.06,50.58,31.86
ES63,Ciudad de Ceuta,2019-01-01,102.94,108.72,25.46
ES64,Ciudad de Melilla,2019-01-01,114.16,122.35,29.25
ES70,Canarias,2019-01-01,42.52,38.81,35.78
FI19,Länsi-Suomi,2019-01-01,43.79,19.9,24.76
FI1B,Helsinki-Uusimaa,2019-01-01,55.28,21.43,19.84
FI1C,Etelä-Suomi,2019-01-01,50.57,22.15,25.08
FI1D,Pohjois- ja Itä-Suomi,2019-01-01,50.94,25.76,30.24
FI20,Åland,2019-01-01,43.54,39.61,18.93
FR10,Ile-de-France,2019-01-01,100.6,70.3,19.17
FRB0,Centre — Val de Loire,2019-01-01,55.34,34.52,43.53
FRC1,Bourgogne,2019-01-01,36.98,20.45,54.94
FRC2,Franche-Comté,2019-01-01,56.19,29.26,54.16
FRD1,Basse-Normandie,2019-01-01,38.22,26.54,55.87
FRD2,Haute-Normandie,2019-01-01,42.8,25,44.69
FRE1,Nord-Pas de Calais,2019-01-01,86.32,62.78,31.01
FRE2,Picardie,2019-01-01,76.11,52.18,30.99
FRF1,Alsace,2019-01-01,65.18,44.23,38.91
FRF2,Champagne-Ardenne,2019-01-01,54.49,32.06,45.99
FRF3,Lorraine,2019-01-01,56.11,33.54,44.38
FRG0,Pays de la Loire,2019-01-01,54.37,37.61,41.58
FRH0,Bretagne,2019-01-01,44.42,28.27,52.64
FRI1,Aquitaine,2019-01-01,51.7,31.48,58.17
FRI2,Limousin,2019-01-01,45.89,29.04,84.36
FRI3,Poitou-Charentes,2019-01-01,33.86,19.69,62.98
FRJ1,Languedoc-Roussillon,2019-01-01,46.86,27.85,53.51
FRJ2,Midi-Pyrénées,2019-01-01,59.74,38.35,57.91
FRK1,Auvergne,2019-01-01,31.98,19.28,56.9
FRK2,Rhône-Alpes,2019-01-01,46.53,28.36,49.65
FRL0,Provence-Alpes-Côte d’Azur,2019-01-01,53.73,33.23,46.43
FRM0,Corse,2019-01-01,37.78,26.4,63.24
FRY1,Guadeloupe,2019-01-01,17.06,7.86,86.25
FRY2,Martinique,2019-01-01,29.99,15.32,45.8
FRY3,Guyane,2019-01-01,25.91,13.55,105.94
FRY4,La Réunion,2019-01-01,45.64,38.41,18.45
FRY5,Mayotte,2019-01-01,6.03,2.61,344.11
HR02,Panonska Hrvatska,2019-01-01,23.64,10.4,38.37
HR03,Jadranska Hrvatska,2019-01-01,25.32,10.81,38.07
HR05,Grad Zagreb,2019-01-01,39,16.78,21.15
HR06,Sjeverna Hrvatska,2019-01-01,21.37,11.27,33.54
HU11,Budapest,2019-01-01,96.64,38.22,11.01
HU12,Pest,2019-01-01,98.42,50.84,12.32
HU21,Közép-Dunántúl,2019-01-01,81.53,31.67,17.66
HU22,Nyugat-Dunántúl,2019-01-01,56.66,21.75,22.12
HU23,Dél-Dunántúl,2019-01-01,64.99,29.73,19.49
HU31,Észak-Magyarország,2019-01-01,83.33,39.8,19.33
HU32,Észak-Alföld,2019-01-01,82.24,29.23,20.48
HU33,Dél-Alföld,2019-01-01,69.78,28.85,21.48
IE04,Northern and Western,2019-01-01,32.11,13.71,42.34
IE05,Southern,2019-01-01,39.67,16.37,40.1
IE06,Eastern and Midland,2019-01-01,62.39,21.06,26.54
IS00,Ísland,2019-01-01,100.26,91.93,10.81
ITC1,Piemonte,2019-01-01,49.27,20.16,31.61
ITC2,Valle d’Aosta/Vallée d’Aoste,2019-01-01,25.14,6.6,48.36
ITC3,Liguria,2019-01-01,51.82,20.79,30.41
ITC4,Lombardia,2019-01-01,51.03,22.68,26.45
ITF1,Abruzzo,2019-01-01,34.1,10.82,37.81
ITF2,Molise,2019-01-01,26.75,7.23,39.86
ITF3,Campania,2019-01-01,48.67,17.09,28.04
ITF4,Puglia,2019-01-01,47.73,16.04,34.09
ITF5,Basilicata,2019-01-01,36.82,11.55,40.41
ITF6,Calabria,2019-01-01,34.81,10.76,40.59
ITG1,Sicilia,2019-01-01,51.72,19.18,40.98
ITG2,Sardegna,2019-01-01,46.2,19.48,42.35
ITH1,Provincia Autonoma di Bolzano/Bozen,2019-01-01,32.02,10.17,35.16
ITH2,Provincia Autonoma di Trento,2019-01-01,27.04,8.51,42.39
ITH3,Veneto,2019-01-01,34.41,11.97,36.48
ITH4,Friuli-Venezia Giulia,2019-01-01,34.92,10.13,41.23
ITH5,Emilia-Romagna,2019-01-01,44.15,16.39,32.18
ITI1,Toscana,2019-01-01,36.92,10.81,40.83
ITI2,Umbria,2019-01-01,37.23,13.3,42.38
ITI3,Marche,2019-01-01,28.99,8.13,43.36
ITI4,Lazio,2019-01-01,44.73,15.33,27.97
LI00,Liechtenstein,2019-01-01,69.45,37.88,14.59
LT01,Sostinės regionas,2019-01-01,69.22,64.96,16.82
LT02,Vidurio ir vakarų Lietuvos regionas,2019-01-01,55.5,50.24,21.39
LU00,Luxembourg,2019-01-01,80.25,56.32,13.95
LV00,Latvija,2019-01-01,43.97,40.87,18.72
ME00,Crna Gora,2019-01-01,30.44,5.7,24.56
MK00,Severna Makedonija,2019-01-01,20.56,9.9,32.78
MT00,Malta,2019-01-01,70.19,11.7,14.48
NL11,Groningen,2019-01-01,71.23,24.95,19.27
NL12,Friesland (NL),2019-01-01,72.73,26.74,19.4
NL13,Drenthe,2019-01-01,76.25,33.31,17.48
NL21,Overijssel,2019-01-01,81.5,54.28,12.18
NL22,Gelderland,2019-01-01,80.82,46.07,13.69
NL23,Flevoland,2019-01-01,98.65,68.03,10.5
NL31,Utrecht,2019-01-01,86.85,46.47,11.88
NL32,Noord-Holland,2019-01-01,85.77,34.83,12.67
NL33,Zuid-Holland,2019-01-01,82.84,33.67,14.46
NL34,Zeeland,2019-01-01,75.37,15.37,15.5
NL41,Noord-Brabant,2019-01-01,85.95,39.87,13.55
NL42,Limburg (NL),2019-01-01,79.45,31.12,14.79
NO02,Innlandet,2019-01-01,76.63,71.45,32.28
NO06,Trøndelag,2019-01-01,91.97,68.51,20.85
NO07,Nord-Norge,2019-01-01,87.41,73.45,19.52
NO08,Oslo og Viken,2019-01-01,100.1,62.34,14.44
NO09,Agder og Sør-Østlandet,2019-01-01,90.69,72.84,17.47
NO0A,Vestlandet,2019-01-01,89.1,76.71,17.64
NO0B,Jan Mayen and Svalbard,2019-01-01,38.95,39.04,31.27
PL21,Małopolskie,2019-01-01,50.42,16.27,33.32
PL22,Śląskie,2019-01-01,62.29,22.44,24.23
PL41,Wielkopolskie,2019-01-01,50.73,35.06,29.54
PL42,Zachodniopomorskie,2019-01-01,44.37,13.34,42
PL43,Lubuskie,2019-01-01,37.59,13.36,44.96
PL51,Dolnośląskie,2019-01-01,41.35,20.65,42.2
PL52,Opolskie,2019-01-01,41.17,13.25,34.27
PL61,Kujawsko-pomorskie,2019-01-01,43.08,13.04,34.44
PL62,Warmińsko-mazurskie,2019-01-01,35.47,12.34,41.02
PL63,Pomorskie,2019-01-01,53.5,20.99,30.75
PL71,Łódzkie,2019-01-01,50.97,17.41,32.4
PL72,Świętokrzyskie,2019-01-01,43.05,16.04,46.88
PL81,Lubelskie,2019-01-01,37.17,13.3,34.43
PL82,Podkarpackie,2019-01-01,42.72,17.39,28.41
PL84,Podlaskie,2019-01-01,35.3,22.17,30.17
PL91,Warszawski stołeczny,2019-01-01,80.83,19.79,22.03
PL92,Mazowiecki regionalny,2019-01-01,30.43,12.16,36.51
PT11,Norte,2019-01-01,72.27,45.72,14.78
PT15,Algarve,2019-01-01,34.84,19.11,36.85
PT16,Centro (PT),2019-01-01,58.27,39.44,25.4
PT17,Área Metropolitana de Lisboa,2019-01-01,79.8,44.65,10.78
PT18,Alentejo,2019-01-01,56.66,35.39,29.77
PT20,Região Autónoma dos Açores,2019-01-01,74.03,39.83,26.28
PT30,Região Autónoma da Madeira,2019-01-01,54.14,28.83,23.62
RO11,Nord-Vest,2019-01-01,78.43,61.87,18.83
RO12,Centru,2019-01-01,67.42,65.63,15.62
RO21,Nord-Est,2019-01-01,83.42,61.35,24.52
RO22,Sud-Est,2019-01-01,74.97,64.46,21.38
RO31,Sud-Muntenia,2019-01-01,75.24,49.39,14.75
RO32,Bucureşti-Ilfov,2019-01-01,103.58,83.22,7.1
RO41,Sud-Vest Oltenia,2019-01-01,71.6,69.11,19.31
RO42,Vest,2019-01-01,80.71,64.1,17.86
RS11,City of Belgrade,2019-01-01,45.29,9.31,14.35
RS12,Autonomous Province of Vojvodina,2019-01-01,35.59,7.13,22.95
RS21,Region Šumadije i Zapadne Srbije,2019-01-01,26.48,5.75,26.29
RS22,Region Južne i Istočne Srbije,2019-01-01,24.01,7.5,29.59
SE11,Stockholm,2019-01-01,99.06,63.21,11.2
SE12,Östra Mellansverige,2019-01-01,81.48,52.64,17.91
SE21,Småland med öarna,2019-01-01,67.67,47.28,24.54
SE22,Sydsverige,2019-01-01,85.42,58.11,22.82
SE23,Västsverige,2019-01-01,85.74,55.29,15.64
SE31,Norra Mellansverige,2019-01-01,67.45,45.3,24.15
SE32,Mellersta Norrland,2019-01-01,63.85,49.11,27.32
SE33,Övre Norrland,2019-01-01,68.83,60.32,26.5
SI03,Vzhodna Slovenija,2019-01-01,39,12.42,21.29
SI04,Zahodna Slovenija,2019-01-01,40.84,16.97,17.11
SK01,Bratislavský kraj,2019-01-01,62.49,17.84,17.29
SK02,Západné Slovensko,2019-01-01,32.53,10.76,28.18
SK03,Stredné Slovensko,2019-01-01,34.02,13.88,26.7
SK04,Východné Slovensko,2019-01-01,40.07,22.26,29.27
TR10,İstanbul,2019-01-01,23.22,4.97,20.27
TR21,"Tekirdağ, Edirne, Kırklareli",2019-01-01,20.62,3.39,24.07
TR22,"Balıkesir, Çanakkale",2019-01-01,16.54,3.32,34.56
TR31,İzmir,2019-01-01,22.39,3.89,23.33
TR32,"Aydın, Denizli, Muğla",2019-01-01,16.21,3.09,39.36
TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",2019-01-01,16.18,3.1,34.22
TR41,"Bursa, Eskişehir, Bilecik",2019-01-01,19.42,3.51,24.39
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",2019-01-01,16.42,3.33,30.54
TR51,Ankara,2019-01-01,23.54,4.5,18.71
TR52,"Konya, Karaman",2019-01-01,17.65,2.86,31.88
TR61,"Antalya, Isparta, Burdur",2019-01-01,18.93,5.18,32.89
TR62,"Adana, Mersin",2019-01-01,20.8,3.9,27.24
TR63,"Hatay, Kahramanmaraş, Osmaniye",2019-01-01,13.71,3.62,42.39
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",2019-01-01,15.42,3.06,35.06
TR72,"Kayseri, Sivas, Yozgat",2019-01-01,19.49,3.76,32.03
TR81,"Zonguldak, Karabük, Bartın",2019-01-01,17.07,2.58,37.61
TR82,"Kastamonu, Çankırı, Sinop",2019-01-01,18.46,3.75,32.26
TR83,"Samsun, Tokat, Çorum, Amasya",2019-01-01,17.74,3.23,41.86
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",2019-01-01,17.57,3.41,44.29
TRA1,"Erzurum, Erzincan, Bayburt",2019-01-01,22.81,5.81,29.5
TRA2,"Ağrı, Kars, Iğdır, Ardahan",2019-01-01,14.36,3.78,91.84
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",2019-01-01,16.89,2.55,39.66
TRB2,"Van, Muş, Bitlis, Hakkari",2019-01-01,16.13,3.83,57.94
TRC1,"Gaziantep, Adıyaman, Kilis",2019-01-01,20.06,4.33,30.09
TRC2,"Şanlıurfa, Diyarbakır",2019-01-01,16.4,3.04,41.45
TRC3,"Mardin, Batman, Şırnak, Siirt",2019-01-01,14.28,3.12,58.37
UKC1,Tees Valley and Durham,2019-01-01,50.15,9.98,24.57
UKC2,Northumberland and Tyne and Wear,2019-01-01,47.73,10.64,25.46
UKD1,Cumbria,2019-01-01,36.03,17.23,30.42
UKD3,Greater Manchester,2019-01-01,63.61,11.68,20.01
UKD4,Lancashire,2019-01-01,50.59,12.47,25.02
UKD6,Cheshire,2019-01-01,45.35,10.51,26.86
UKD7,Merseyside,2019-01-01,63.82,10.41,22.14
UKE1,East Yorkshire and Northern Lincolnshire,2019-01-01,47.06,10.4,27.02
UKE2,North Yorkshire,2019-01-01,40.45,16.56,27.49
UKE3,South Yorkshire,2019-01-01,48.09,10.63,23.83
UKE4,West Yorkshire,2019-01-01,59.68,10.48,21.5
UKF1,Derbyshire and Nottinghamshire,2019-01-01,54.2,10.32,22.58
UKF2,"Leicestershire, Rutland and Northamptonshire",2019-01-01,57.56,12.57,20.53
UKF3,Lincolnshire,2019-01-01,40.51,9.79,28.59
UKG1,"Herefordshire, Worcestershire and Warwickshire",2019-01-01,44.45,11.11,24.57
UKG2,Shropshire and Staffordshire,2019-01-01,48.95,10.3,25.21
UKG3,West Midlands,2019-01-01,67.52,10.67,19
UKH1,East Anglia,2019-01-01,43.63,10.63,23.44
UKH2,Bedfordshire and Hertfordshire,2019-01-01,62.44,11.06,19.08
UKH3,Essex,2019-01-01,49.09,10.96,21.64
