id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2021-01-01,23.77,15.4,17.51
AL02,Qender,2021-01-01,34.38,13.04,15.1
AL03,Jug,2021-01-01,23.12,14.53,20.83
AT11,Burgenland,2021-01-01,64.33,15.57,15.35
AT12,Niederösterreich,2021-01-01,55.33,15.89,14.13
AT13,Wien,2021-01-01,96.14,24.38,10.89
AT21,Kärnten,2021-01-01,48.19,13.6,19.83
AT22,Steiermark,2021-01-01,51.04,14.07,17.06
AT31,Oberösterreich,2021-01-01,53.13,15.65,15.62
AT32,Salzburg,2021-01-01,50.5,12.27,15.84
AT33,Tirol,2021-01-01,60.86,15.51,20.49
AT34,Vorarlberg,2021-01-01,67.18,16.04,30.91
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2021-01-01,86.25,16.86,12.73
BE21,Prov. Antwerpen,2021-01-01,110.93,19.11,12.63
BE22,Prov. Limburg (BE),2021-01-01,109.06,19.58,13.75
BE23,Prov. Oost-Vlaanderen,2021-01-01,107.03,18.93,13.74
BE24,Prov. Vlaams-Brabant,2021-01-01,105.28,18.88,12.77
BE25,Prov. West-Vlaanderen,2021-01-01,100.94,18.75,13.94
BE31,Prov. Brabant Wallon,2021-01-01,75.55,14.26,14.37
BE32,Prov. Hainaut,2021-01-01,76.66,14.95,15.31
BE33,Prov. Liège,2021-01-01,75.25,13.27,16.4
BE34,Prov. Luxembourg (BE),2021-01-01,67.28,13.85,21.02
BE35,Prov. Namur,2021-01-01,68.72,13.27,20.15
BG31,Severozapaden,2021-01-01,55.27,44.36,11.08
BG32,Severen tsentralen,2021-01-01,48.25,46.15,14.28
BG33,Severoiztochen,2021-01-01,55.87,41.55,11.93
BG34,Yugoiztochen,2021-01-01,49.19,43.59,10.12
BG41,Yugozapaden,2021-01-01,69.48,55.15,5.07
BG42,Yuzhen tsentralen,2021-01-01,52.6,51.08,8.97
CH01,Région lémanique,2021-01-01,155.91,104.02,8.89
CH02,Espace Mittelland,2021-01-01,144.95,77.71,10.99
CH03,Nordwestschweiz,2021-01-01,149.24,73.04,10.52
CH04,Zürich,2021-01-01,180.64,110.2,8.03
CH05,Ostschweiz,2021-01-01,132.29,79.84,10.9
CH06,Zentralschweiz,2021-01-01,154.37,88.74,9.45
CH07,Ticino,2021-01-01,127.32,79.36,13.35
CY00,Kýpros,2021-01-01,33.63,12.02,17.59
CZ01,Praha,2021-01-01,86.09,30.77,11.4
CZ02,Střední Čechy,2021-01-01,43.6,25.26,15.87
CZ03,Jihozápad,2021-01-01,49.5,32.71,15.2
CZ04,Severozápad,2021-01-01,53.8,30.95,16.28
CZ05,Severovýchod,2021-01-01,40.31,22.45,17.43
CZ06,Jihovýchod,2021-01-01,51.52,24.14,17.31
CZ07,Střední Morava,2021-01-01,40.86,20.13,19.51
CZ08,Moravskoslezsko,2021-01-01,47.42,22.79,22.42
DE11,Stuttgart,2021-01-01,97.06,20.02,18.05
DE12,Karlsruhe,2021-01-01,95.34,18.6,17.49
DE13,Freiburg,2021-01-01,88.71,20.47,22.77
DE14,Tübingen,2021-01-01,83.64,17.37,23.56
DE21,Oberbayern,2021-01-01,96.76,27.07,14.62
DE22,Niederbayern,2021-01-01,76.45,22.9,17.65
DE23,Oberpfalz,2021-01-01,81.27,21.54,19.34
DE24,Oberfranken,2021-01-01,85.46,21.4,18.84
DE25,Mittelfranken,2021-01-01,91.57,24.06,17.93
DE26,Unterfranken,2021-01-01,86.8,24.23,19.89
DE27,Schwaben,2021-01-01,88.86,21.68,17.87
DE30,Berlin,2021-01-01,113.21,21.7,15.93
DE40,Brandenburg,2021-01-01,79.82,23.5,17.3
DE50,Bremen,2021-01-01,122.39,23.21,19.14
DE60,Hamburg,2021-01-01,94.28,23.88,14.15
DE71,Darmstadt,2021-01-01,104.16,23.2,14.31
DE72,Gießen,2021-01-01,80.98,22.8,15.04
DE73,Kassel,2021-01-01,86.75,32.16,19.93
DE80,Mecklenburg-Vorpommern,2021-01-01,72.38,22.04,24.33
DE91,Braunschweig,2021-01-01,89.2,34.37,19.05
DE92,Hannover,2021-01-01,89.43,31.18,20.04
DE93,Lüneburg,2021-01-01,94.9,30.24,19.96
DE94,Weser-Ems,2021-01-01,81.61,28.92,24.08
DEA1,Düsseldorf,2021-01-01,106.29,28.21,15.52
DEA2,Köln,2021-01-01,93.92,26.42,15.65
DEA3,Münster,2021-01-01,95.17,36.67,17.48
DEA4,Detmold,2021-01-01,86.55,29.27,20.56
DEA5,Arnsberg,2021-01-01,94.85,21.52,17.76
DEB1,Koblenz,2021-01-01,75.6,19.22,20.56
DEB2,Trier,2021-01-01,65.49,21.02,22.47
DEB3,Rheinhessen-Pfalz,2021-01-01,93.43,22.16,19.08
DEC0,Saarland,2021-01-01,88.48,20.21,21.7
DED2,Dresden,2021-01-01,68.11,19.18,22.96
DED4,Chemnitz,2021-01-01,60.57,16.93,21.55
DED5,Leipzig,2021-01-01,86.02,25.9,19.04
DEE0,Sachsen-Anhalt,2021-01-01,66.59,18.5,21.69
DEF0,Schleswig-Holstein,2021-01-01,98.66,32.68,15.48
DEG0,Thüringen,2021-01-01,58.91,17.29,24.59
DK01,Hovedstaden,2021-01-01,161.3,105.24,11.35
DK02,Sjælland,2021-01-01,149.65,122.95,9.02
DK03,Syddanmark,2021-01-01,129.94,107.29,9.91
DK04,Midtjylland,2021-01-01,160.19,119.48,10.1
DK05,Nordjylland,2021-01-01,141.65,107.6,11.82
EE00,Eesti,2021-01-01,70.02,54.44,10.48
EL30,Attiki,2021-01-01,36.51,6.91,21.06
EL41,Voreio Aigaio,2021-01-01,24.35,4.4,39.59
EL42,Notio Aigaio,2021-01-01,27.68,5,46.41
EL43,Kriti,2021-01-01,20.65,3.88,31.56
EL51,"Anatoliki Makedonia, Thraki",2021-01-01,26.63,4.57,35.93
EL52,Kentriki Makedonia,2021-01-01,30.75,8.47,27.46
EL53,Dytiki Makedonia,2021-01-01,21.25,3.54,36.31
EL54,Ipeiros,2021-01-01,22.87,4.03,37.64
EL61,Thessalia,2021-01-01,25.71,4.12,30.47
EL62,Ionia Nisia,2021-01-01,20.13,3.71,45.74
EL63,Dytiki Elláda,2021-01-01,25.09,4.23,31.44
EL64,Sterea Elláda,2021-01-01,22.31,3.66,32.56
EL65,Peloponnisos,2021-01-01,21.86,4.08,32.09
ES11,Galicia,2021-01-01,118.23,104.83,27.42
ES12,Principado de Asturias,2021-01-01,131.77,101.91,22.05
ES13,Cantabria,2021-01-01,139.29,125.41,21.68
ES21,País Vasco,2021-01-01,155.57,113.6,15.53
ES22,Comunidad Foral de Navarra,2021-01-01,152.16,135.02,19.66
ES23,La Rioja,2021-01-01,154.71,133.98,18.1
ES24,Aragón,2021-01-01,113.98,117.02,23.48
ES30,Comunidad de Madrid,2021-01-01,194.44,177.58,6.68
ES41,Castilla y León,2021-01-01,151.35,128.74,20.95
ES42,Castilla-La Mancha,2021-01-01,150.54,139,16.5
ES43,Extremadura,2021-01-01,129.04,123.38,25.96
ES51,Cataluña,2021-01-01,154.73,142.97,13.41
ES52,Comunitat Valenciana,2021-01-01,123.44,108.01,18.9
ES53,Illes Balears,2021-01-01,126,113.54,24.42
ES61,Andalucía,2021-01-01,123.96,117.78,24.3
ES62,Región de Murcia,2021-01-01,121.8,111.36,20.3
ES63,Ciudad de Ceuta,2021-01-01,164.12,157.25,21.94
ES64,Ciudad de Melilla,2021-01-01,116.87,135.13,27.54
ES70,Canarias,2021-01-01,85.04,83.38,30.17
FI19,Länsi-Suomi,2021-01-01,79.61,32.83,19.3
FI1B,Helsinki-Uusimaa,2021-01-01,98.11,35.41,12.93
FI1C,Etelä-Suomi,2021-01-01,82.49,37.32,18.36
FI1D,Pohjois- ja Itä-Suomi,2021-01-01,91.55,50.76,19.45
FI20,Åland,2021-01-01,78.39,63.75,8.59
FR10,Ile-de-France,2021-01-01,191.75,150.29,8.8
FRB0,Centre — Val de Loire,2021-01-01,139.56,109.66,21.03
FRC1,Bourgogne,2021-01-01,96.82,73.79,35.23
FRC2,Franche-Comté,2021-01-01,138.21,106.82,26.98
FRD1,Basse-Normandie,2021-01-01,115.11,92.38,29.05
FRD2,Haute-Normandie,2021-01-01,119.61,91.14,24.54
FRE1,Nord-Pas de Calais,2021-01-01,171.43,136.69,13.24
FRE2,Picardie,2021-01-01,167.47,144.01,14.82
FRF1,Alsace,2021-01-01,144.85,119.29,18.82
FRF2,Champagne-Ardenne,2021-01-01,144.71,116.42,22.47
FRF3,Lorraine,2021-01-01,123.56,86.79,26.94
FRG0,Pays de la Loire,2021-01-01,120.48,99.35,23.67
FRH0,Bretagne,2021-01-01,101.4,79.2,28.1
FRI1,Aquitaine,2021-01-01,112.51,88.34,31.46
FRI2,Limousin,2021-01-01,104.67,81.14,38.44
FRI3,Poitou-Charentes,2021-01-01,98.36,77.45,29.96
FRJ1,Languedoc-Roussillon,2021-01-01,124.59,99.65,31.73
FRJ2,Midi-Pyrénées,2021-01-01,126.52,103.09,33.18
FRK1,Auvergne,2021-01-01,112.05,94.53,36.8
FRK2,Rhône-Alpes,2021-01-01,135.4,105.17,23.82
FRL0,Provence-Alpes-Côte d’Azur,2021-01-01,143.91,110.76,23.27
FRM0,Corse,2021-01-01,98.31,83.27,39.3
FRY1,Guadeloupe,2021-01-01,68.1,55.84,50.28
FRY2,Martinique,2021-01-01,62.12,49.72,27.44
FRY3,Guyane,2021-01-01,100.18,78.16,35.66
FRY4,La Réunion,2021-01-01,141.59,151.41,10.68
FRY5,Mayotte,2021-01-01,12.33,4.59,301.72
HR02,Panonska Hrvatska,2021-01-01,33.05,15.2,23.05
HR03,Jadranska Hrvatska,2021-01-01,36.5,16.72,23.09
HR05,Grad Zagreb,2021-01-01,63.82,30.01,11.57
HR06,Sjeverna Hrvatska,2021-01-01,35.2,19.09,18.99
HU11,Budapest,2021-01-01,159.12,71.1,7.85
HU12,Pest,2021-01-01,130.87,78.11,10.64
HU21,Közép-Dunántúl,2021-01-01,120.6,58.08,13.77
HU22,Nyugat-Dunántúl,2021-01-01,108.82,53.78,15.22
HU23,Dél-Dunántúl,2021-01-01,100.81,46.82,16.57
HU31,Észak-Magyarország,2021-01-01,122.48,68.83,14.45
HU32,Észak-Alföld,2021-01-01,115.09,63.61,15.91
HU33,Dél-Alföld,2021-01-01,100.88,51.96,17.05
IE04,Northern and Western,2021-01-01,65.95,22.29,33.29
IE05,Southern,2021-01-01,70.93,24.32,27.85
IE06,Eastern and Midland,2021-01-01,106.4,28.65,19.3
IS00,Ísland,2021-01-01,181.23,165.17,5.1
ITC1,Piemonte,2021-01-01,76.19,35.73,21.64
ITC2,Valle d’Aosta/Vallée d’Aoste,2021-01-01,44.3,16.54,27.38
ITC3,Liguria,2021-01-01,90.43,41.72,18.38
ITC4,Lombardia,2021-01-01,81.78,39.26,17.43
ITF1,Abruzzo,2021-01-01,67.51,29.83,26.04
ITF2,Molise,2021-01-01,63.6,26.62,27.42
ITF3,Campania,2021-01-01,74.95,30.83,19.08
ITF4,Puglia,2021-01-01,70.81,30.45,29.84
ITF5,Basilicata,2021-01-01,74.63,34.44,27.17
ITF6,Calabria,2021-01-01,50.49,19.32,35.66
ITG1,Sicilia,2021-01-01,76.98,33.2,30.77
ITG2,Sardegna,2021-01-01,73.61,37.63,29.9
ITH1,Provincia Autonoma di Bolzano/Bozen,2021-01-01,48.14,19.41,19.16
ITH2,Provincia Autonoma di Trento,2021-01-01,49.39,17.73,25.06
ITH3,Veneto,2021-01-01,56.95,23.31,24.45
ITH4,Friuli-Venezia Giulia,2021-01-01,53.51,21.82,29.95
ITH5,Emilia-Romagna,2021-01-01,72.42,31.51,24.97
ITI1,Toscana,2021-01-01,60.07,23.41,26.73
ITI2,Umbria,2021-01-01,63.48,27.5,31.42
ITI3,Marche,2021-01-01,49.07,18.07,29.59
ITI4,Lazio,2021-01-01,79.16,33.12,18.22
LI00,Liechtenstein,2021-01-01,123.94,92.55,8.37
LT01,Sostinės regionas,2021-01-01,107.89,109.09,9.15
LT02,Vidurio ir vakarų Lietuvos regionas,2021-01-01,87.87,83.32,13.97
LU00,Luxembourg,2021-01-01,133.89,90.89,9.61
LV00,Latvija,2021-01-01,84.33,83.76,14.44
ME00,Crna Gora,2021-01-01,55.78,8.89,13.37
MK00,Severna Makedonija,2021-01-01,25.68,14.67,20.62
MT00,Malta,2021-01-01,115.69,17.26,10.43
NL11,Groningen,2021-01-01,107.37,46.63,13.5
NL12,Friesland (NL),2021-01-01,111.11,66.97,12.48
