id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2021-10-01,30.12,16.61,16.55
AL02,Qender,2021-10-01,45.66,15.5,14.31
AL03,Jug,2021-10-01,30.08,15.99,15.95
AT11,Burgenland,2021-10-01,71.55,17.13,16.22
AT12,Niederösterreich,2021-10-01,69.25,19.12,14.46
AT13,Wien,2021-10-01,117.66,27.5,11.2
AT21,Kärnten,2021-10-01,60.21,15.65,19.78
AT22,Steiermark,2021-10-01,61.45,15.94,17.9
AT31,Oberösterreich,2021-10-01,63.25,20.48,15.98
AT32,Salzburg,2021-10-01,61.09,15.86,15.4
AT33,Tirol,2021-10-01,72.16,18.15,21.4
AT34,Vorarlberg,2021-10-01,72.36,17.44,28.12
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2021-10-01,106.4,19.53,14
BE21,Prov. Antwerpen,2021-10-01,134.84,22.13,13.4
BE22,Prov. Limburg (BE),2021-10-01,135.91,21.29,13.9
BE23,Prov. Oost-Vlaanderen,2021-10-01,131.86,21.75,14.05
BE24,Prov. Vlaams-Brabant,2021-10-01,128,21.03,13.69
BE25,Prov. West-Vlaanderen,2021-10-01,122.29,20.6,15.13
BE31,Prov. Brabant Wallon,2021-10-01,97.02,15.17,14.65
BE32,Prov. Hainaut,2021-10-01,97.61,16.16,15.41
BE33,Prov. Liège,2021-10-01,91.88,14.26,16.95
BE34,Prov. Luxembourg (BE),2021-10-01,74.97,14.71,21.6
BE35,Prov. Namur,2021-10-01,87.55,15.04,17.51
BG31,Severozapaden,2021-10-01,63.21,46.22,12.41
BG32,Severen tsentralen,2021-10-01,55.67,47.11,14.4
BG33,Severoiztochen,2021-10-01,69.25,52.9,13.07
BG34,Yugoiztochen,2021-10-01,62.69,52.18,9.63
BG41,Yugozapaden,2021-10-01,86.29,67.86,5.42
BG42,Yuzhen tsentralen,2021-10-01,63.76,57.41,9.15
CH01,Région lémanique,2021-10-01,192,124.21,8.93
CH02,Espace Mittelland,2021-10-01,184.13,98.31,11.21
CH03,Nordwestschweiz,2021-10-01,188.28,94.56,10.3
CH04,Zürich,2021-10-01,212.86,125.89,8.18
CH05,Ostschweiz,2021-10-01,170.86,101.16,10.5
CH06,Zentralschweiz,2021-10-01,185.94,108.43,9.15
CH07,Ticino,2021-10-01,157.92,95.48,13.52
CY00,Kýpros,2021-10-01,44.34,16.86,16.34
CZ01,Praha,2021-10-01,108.69,37.99,10.89
CZ02,Střední Čechy,2021-10-01,58.36,32.89,15.7
CZ03,Jihozápad,2021-10-01,63.14,38.89,13.8
CZ04,Severozápad,2021-10-01,74.02,38.15,16.07
CZ05,Severovýchod,2021-10-01,54.3,28.36,16.74
CZ06,Jihovýchod,2021-10-01,69.24,32.23,16.05
CZ07,Střední Morava,2021-10-01,57.16,30.31,19.73
CZ08,Moravskoslezsko,2021-10-01,66.57,28.71,22.94
DE11,Stuttgart,2021-10-01,122.21,23.72,17.59
DE12,Karlsruhe,2021-10-01,119.73,22.1,16.83
DE13,Freiburg,2021-10-01,101.91,25.23,20.96
DE14,Tübingen,2021-10-01,97.11,19.75,21.4
DE21,Oberbayern,2021-10-01,114.12,31.18,14.71
DE22,Niederbayern,2021-10-01,87.1,25.77,16.98
DE23,Oberpfalz,2021-10-01,93.49,25.74,18.02
DE24,Oberfranken,2021-10-01,107.62,24.64,17.96
DE25,Mittelfranken,2021-10-01,107.39,27.28,16.88
DE26,Unterfranken,2021-10-01,105.04,26.77,17.97
DE27,Schwaben,2021-10-01,104.76,24.71,17.07
DE30,Berlin,2021-10-01,128.51,26.08,13.66
DE40,Brandenburg,2021-10-01,87.47,23.04,16.77
DE50,Bremen,2021-10-01,136.13,26.87,17.47
DE60,Hamburg,2021-10-01,124.04,30.17,12.85
DE71,Darmstadt,2021-10-01,120.46,27.82,14.84
DE72,Gießen,2021-10-01,101.15,33.23,13.68
DE73,Kassel,2021-10-01,105.21,38.11,16.97
DE80,Mecklenburg-Vorpommern,2021-10-01,85.01,26.38,21.77
DE91,Braunschweig,2021-10-01,118.51,41.02,17.95
DE92,Hannover,2021-10-01,112.17,36.29,18.13
DE93,Lüneburg,2021-10-01,118.73,36.34,18.18
DE94,Weser-Ems,2021-10-01,94.35,29.79,21.58
DEA1,Düsseldorf,2021-10-01,121.93,33.39,14.01
DEA2,Köln,2021-10-01,104.49,30.31,14.29
DEA3,Münster,2021-10-01,117.31,42.92,16.17
DEA4,Detmold,2021-10-01,100.68,32.55,18.86
DEA5,Arnsberg,2021-10-01,109.63,24.7,16.27
DEB1,Koblenz,2021-10-01,91.24,22.05,19.53
DEB2,Trier,2021-10-01,78.67,23.25,22.16
DEB3,Rheinhessen-Pfalz,2021-10-01,113.15,24.46,18.22
DEC0,Saarland,2021-10-01,97.22,22.13,20.25
DED2,Dresden,2021-10-01,80.45,22.67,19.85
DED4,Chemnitz,2021-10-01,76.85,20.84,20.85
DED5,Leipzig,2021-10-01,108.76,31.09,18.45
DEE0,Sachsen-Anhalt,2021-10-01,77.47,21.6,19.34
DEF0,Schleswig-Holstein,2021-10-01,123.17,40.67,14.85
DEG0,Thüringen,2021-10-01,69.75,18.74,24.4
DK01,Hovedstaden,2021-10-01,201.91,124.38,10.47
DK02,Sjælland,2021-10-01,186.65,143.08,8.23
DK03,Syddanmark,2021-10-01,155.7,119.2,9.72
DK04,Midtjylland,2021-10-01,177.56,123.43,10.14
DK05,Nordjylland,2021-10-01,165.56,123.33,11.75
EE00,Eesti,2021-10-01,81.99,64.58,10.31
EL30,Attiki,2021-10-01,43.43,8.08,16.11
EL41,Voreio Aigaio,2021-10-01,31.52,5.27,32.13
EL42,Notio Aigaio,2021-10-01,30.88,7,29.73
EL43,Kriti,2021-10-01,26.82,5.64,25.54
EL51,"Anatoliki Makedonia, Thraki",2021-10-01,32.97,5.49,30.1
EL52,Kentriki Makedonia,2021-10-01,39.85,10.08,21.35
EL53,Dytiki Makedonia,2021-10-01,31.66,4.75,29.16
EL54,Ipeiros,2021-10-01,28.92,4.77,32.39
EL61,Thessalia,2021-10-01,31.83,5.34,27.05
EL62,Ionia Nisia,2021-10-01,23.01,4.4,38.92
