id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2020-04-01,15.81,10.69,24.56
AL02,Qender,2020-04-01,23.74,9.98,18.5
AL03,Jug,2020-04-01,17.25,11.22,23.13
AT11,Burgenland,2020-04-01,56.85,15.19,15.95
AT12,Niederösterreich,2020-04-01,48.65,14.16,14.79
AT13,Wien,2020-04-01,67.92,16.4,12.05
AT21,Kärnten,2020-04-01,39.73,11.29,23.91
AT22,Steiermark,2020-04-01,39.85,11.27,20.57
AT31,Oberösterreich,2020-04-01,43.26,12.82,19.88
AT32,Salzburg,2020-04-01,41.98,11.41,18.67
AT33,Tirol,2020-04-01,49.43,12.26,21.71
AT34,Vorarlberg,2020-04-01,51.33,12.21,30.63
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2020-04-01,73.38,15.85,13.85
BE21,Prov. Antwerpen,2020-04-01,97.23,18.35,13.36
BE22,Prov. Limburg (BE),2020-04-01,94.77,17.79,15.15
BE23,Prov. Oost-Vlaanderen,2020-04-01,95.17,17.98,14.92
BE24,Prov. Vlaams-Brabant,2020-04-01,87.76,17.73,13.83
BE25,Prov. West-Vlaanderen,2020-04-01,83.66,18.03,16.71
BE31,Prov. Brabant Wallon,2020-04-01,62.8,13.63,13.68
BE32,Prov. Hainaut,2020-04-01,60.87,13.75,16.01
BE33,Prov. Liège,2020-04-01,60.91,12.81,16.03
BE34,Prov. Luxembourg (BE),2020-04-01,43.69,12.72,23.76
BE35,Prov. Namur,2020-04-01,59.38,12.95,19.14
BG31,Severozapaden,2020-04-01,44.2,37.04,11.55
BG32,Severen tsentralen,2020-04-01,41.38,39.15,15.82
BG33,Severoiztochen,2020-04-01,42.4,33.53,16.78
BG34,Yugoiztochen,2020-04-01,38.76,34.67,12.45
BG41,Yugozapaden,2020-04-01,50.82,38.75,6.03
BG42,Yuzhen tsentralen,2020-04-01,43.31,40.66,10.47
CH01,Région lémanique,2020-04-01,123.8,82.88,10.64
CH02,Espace Mittelland,2020-04-01,119.11,63.1,12.18
CH03,Nordwestschweiz,2020-04-01,125.18,60.03,11.06
CH04,Zürich,2020-04-01,142.41,88.47,9.21
CH05,Ostschweiz,2020-04-01,111.18,63.66,11.72
CH06,Zentralschweiz,2020-04-01,120.64,66.17,10.99
CH07,Ticino,2020-04-01,100.23,63.42,19
CY00,Kýpros,2020-04-01,21.5,6.14,21.35
CZ01,Praha,2020-04-01,72.24,25.93,11.92
CZ02,Střední Čechy,2020-04-01,35.33,21.66,16.12
CZ03,Jihozápad,2020-04-01,38.35,27.37,15.7
CZ04,Severozápad,2020-04-01,45.07,25.76,17.41
CZ05,Severovýchod,2020-04-01,31.7,17.9,17.54
CZ06,Jihovýchod,2020-04-01,41.71,20.32,17.69
CZ07,Střední Morava,2020-04-01,33.89,18.07,21.09
CZ08,Moravskoslezsko,2020-04-01,36.62,18.53,26.3
DE11,Stuttgart,2020-04-01,91.57,17.59,19.02
DE12,Karlsruhe,2020-04-01,90.52,16.98,17.92
DE13,Freiburg,2020-04-01,79.15,17.15,24
DE14,Tübingen,2020-04-01,76.94,15.19,24.17
DE21,Oberbayern,2020-04-01,80.28,22.3,16.08
DE22,Niederbayern,2020-04-01,64.64,19.85,17.32
DE23,Oberpfalz,2020-04-01,68.11,18.81,19.33
DE24,Oberfranken,2020-04-01,70.26,18.38,19.81
DE25,Mittelfranken,2020-04-01,77.02,19.38,19.54
DE26,Unterfranken,2020-04-01,71.5,19.74,18.28
DE27,Schwaben,2020-04-01,72.15,19.31,18.64
DE30,Berlin,2020-04-01,88.21,19.67,20.09
DE40,Brandenburg,2020-04-01,60.21,17.03,20.73
DE50,Bremen,2020-04-01,90.27,20.65,23.53
DE60,Hamburg,2020-04-01,80.12,21.33,17.42
DE71,Darmstadt,2020-04-01,93.94,19.92,13.59
DE72,Gießen,2020-04-01,69.73,18.74,14.89
DE73,Kassel,2020-04-01,73.59,22.65,19.85
DE80,Mecklenburg-Vorpommern,2020-04-01,57.8,18.61,26.97
DE91,Braunschweig,2020-04-01,70.72,24.81,20.45
DE92,Hannover,2020-04-01,72.4,24.65,20.85
DE93,Lüneburg,2020-04-01,71.1,24.3,23.13
DE94,Weser-Ems,2020-04-01,68.04,24.53,24.14
DEA1,Düsseldorf,2020-04-01,91.91,25.13,14.77
DEA2,Köln,2020-04-01,75.51,22.33,15.7
DEA3,Münster,2020-04-01,86.91,31.9,17.49
DEA4,Detmold,2020-04-01,70.34,20.45,21.96
DEA5,Arnsberg,2020-04-01,86.84,18.41,17.56
DEB1,Koblenz,2020-04-01,64.59,16.8,20.5
DEB2,Trier,2020-04-01,56.44,18.37,25.59
DEB3,Rheinhessen-Pfalz,2020-04-01,80.84,19.63,18.11
DEC0,Saarland,2020-04-01,73.76,18.91,20.56
DED2,Dresden,2020-04-01,58.7,17.63,23.12
DED4,Chemnitz,2020-04-01,53.53,15.5,23.36
DED5,Leipzig,2020-04-01,77.41,23.38,20.66
DEE0,Sachsen-Anhalt,2020-04-01,52.42,15.69,22.16
DEF0,Schleswig-Holstein,2020-04-01,77.75,27.56,20.07
DEG0,Thüringen,2020-04-01,51.53,15.74,25.3
DK01,Hovedstaden,2020-04-01,113.97,75.77,11.31
DK02,Sjælland,2020-04-01,110.36,99.83,10.15
DK03,Syddanmark,2020-04-01,90.2,76.75,10.93
DK04,Midtjylland,2020-04-01,121.01,94.99,10.72
DK05,Nordjylland,2020-04-01,103.99,89.27,11.57
EE00,Eesti,2020-04-01,57.42,44.23,11.93
EL30,Attiki,2020-04-01,29.36,5.42,23.8
EL41,Voreio Aigaio,2020-04-01,19,3.17,62.96
EL42,Notio Aigaio,2020-04-01,21.24,3.85,78.83
EL43,Kriti,2020-04-01,18.28,3.59,33.79
EL51,"Anatoliki Makedonia, Thraki",2020-04-01,21.56,3.84,52.33
EL52,Kentriki Makedonia,2020-04-01,23.99,7.08,33.46
EL53,Dytiki Makedonia,2020-04-01,18.63,3.23,44.29
EL54,Ipeiros,2020-04-01,18.92,3.12,47.59
EL61,Thessalia,2020-04-01,20.66,3.55,38.25
EL62,Ionia Nisia,2020-04-01,18.22,3.41,55.6
EL63,Dytiki Elláda,2020-04-01,20.07,3.31,35.55
EL64,Sterea Elláda,2020-04-01,18.68,2.85,39.92
EL65,Peloponnisos,2020-04-01,19.64,3.52,38.79
ES11,Galicia,2020-04-01,82.86,70.74,33.92
ES12,Principado de Asturias,2020-04-01,92.14,69.86,25.69
ES13,Cantabria,2020-04-01,101.61,91.52,29.84
ES21,País Vasco,2020-04-01,124.77,88.62,17.71
ES22,Comunidad Foral de Navarra,2020-04-01,110.89,92.32,26.08
ES23,La Rioja,2020-04-01,113.05,96.19,23.45
ES24,Aragón,2020-04-01,95.68,89.72,25.74
ES30,Comunidad de Madrid,2020-04-01,152.77,144.35,7.87
ES41,Castilla y León,2020-04-01,106.28,91.89,26.91
ES42,Castilla-La Mancha,2020-04-01,103.44,93.53,23.86
ES43,Extremadura,2020-04-01,89.57,82.98,32.52
ES51,Cataluña,2020-04-01,127.1,118.48,16.69
ES52,Comunitat Valenciana,2020-04-01,89.87,78.54,23.75
ES53,Illes Balears,2020-04-01,93.58,88.48,27.56
ES61,Andalucía,2020-04-01,90.6,84.71,28.88
ES62,Región de Murcia,2020-04-01,89.27,79.74,27.49
ES63,Ciudad de Ceuta,2020-04-01,140.63,128.03,24.27
ES64,Ciudad de Melilla,2020-04-01,117.8,125.43,33.17
ES70,Canarias,2020-04-01,69.2,70.47,32.36
FI19,Länsi-Suomi,2020-04-01,61.24,25.68,20.07
FI1B,Helsinki-Uusimaa,2020-04-01,74.64,28.05,14.44
FI1C,Etelä-Suomi,2020-04-01,67.77,31.22,19.65
FI1D,Pohjois- ja Itä-Suomi,2020-04-01,77.05,40.57,22.84
FI20,Åland,2020-04-01,69.28,61.15,9.92
FR10,Ile-de-France,2020-04-01,136.95,110.52,12.12
FRB0,Centre — Val de Loire,2020-04-01,86.38,73.69,28.86
FRC1,Bourgogne,2020-04-01,57.03,43.99,45.63
FRC2,Franche-Comté,2020-04-01,72.4,57.04,40.41
FRD1,Basse-Normandie,2020-04-01,49.22,41.33,46.17
FRD2,Haute-Normandie,2020-04-01,68.17,51.7,33.04
FRE1,Nord-Pas de Calais,2020-04-01,109.91,97.63,18.43
FRE2,Picardie,2020-04-01,107.77,98.47,19.3
FRF1,Alsace,2020-04-01,98.21,74.54,23.51
FRF2,Champagne-Ardenne,2020-04-01,72.35,57.57,30.94
FRF3,Lorraine,2020-04-01,73.59,50.38,34.44
FRG0,Pays de la Loire,2020-04-01,73.21,61.7,33.14
FRH0,Bretagne,2020-04-01,50.19,42.9,40.86
FRI1,Aquitaine,2020-04-01,71.61,52.24,40.43
FRI2,Limousin,2020-04-01,47.94,38.49,49.53
FRI3,Poitou-Charentes,2020-04-01,57.95,47.75,40.66
FRJ1,Languedoc-Roussillon,2020-04-01,61.61,49.88,43.12
FRJ2,Midi-Pyrénées,2020-04-01,69.84,58.5,44.06
FRK1,Auvergne,2020-04-01,65.08,54.45,38.09
FRK2,Rhône-Alpes,2020-04-01,84.13,67.37,31.11
FRL0,Provence-Alpes-Côte d’Azur,2020-04-01,82.42,66.39,34.02
FRM0,Corse,2020-04-01,58.65,41.73,46.82
FRY1,Guadeloupe,2020-04-01,37.76,24.64,77.34
FRY2,Martinique,2020-04-01,38.61,26.87,35.43
FRY3,Guyane,2020-04-01,57.66,42.41,61.54
FRY4,La Réunion,2020-04-01,139.78,120.13,9.43
FRY5,Mayotte,2020-04-01,6.13,1.95,306.46
HR02,Panonska Hrvatska,2020-04-01,25.15,10.92,30.84
HR03,Jadranska Hrvatska,2020-04-01,24.89,11.47,30.35
HR05,Grad Zagreb,2020-04-01,46.18,20.81,13.65
HR06,Sjeverna Hrvatska,2020-04-01,25.02,13.11,22.93
