id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2019-10-01,14.74,8.43,26.28
AL02,Qender,2019-10-01,22.69,9.97,19.59
AL03,Jug,2019-10-01,14.61,9.16,27.09
AT11,Burgenland,2019-10-01,45.76,11.78,18.12
AT12,Niederösterreich,2019-10-01,41.51,14.97,16
AT13,Wien,2019-10-01,67.37,15.93,14.11
AT21,Kärnten,2019-10-01,33.99,10.91,26.28
AT22,Steiermark,2019-10-01,36.25,10.89,22.22
AT31,Oberösterreich,2019-10-01,40.35,12.5,20.84
AT32,Salzburg,2019-10-01,37.42,11.78,19.01
AT33,Tirol,2019-10-01,41.41,11.57,24.85
AT34,Vorarlberg,2019-10-01,44.26,11.33,30.69
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2019-10-01,68.05,15.1,13.89
BE21,Prov. Antwerpen,2019-10-01,95.15,17.65,13.63
BE22,Prov. Limburg (BE),2019-10-01,92.24,17.17,15.12
BE23,Prov. Oost-Vlaanderen,2019-10-01,92.6,16.93,14.77
BE24,Prov. Vlaams-Brabant,2019-10-01,92.37,17.17,13.64
BE25,Prov. West-Vlaanderen,2019-10-01,80,16.99,16.08
BE31,Prov. Brabant Wallon,2019-10-01,57.83,12.07,14.79
BE32,Prov. Hainaut,2019-10-01,55.54,12.23,16.35
BE33,Prov. Liège,2019-10-01,55.08,10.93,16.31
BE34,Prov. Luxembourg (BE),2019-10-01,40,10.32,26.35
BE35,Prov. Namur,2019-10-01,50.54,11.15,23.11
BG31,Severozapaden,2019-10-01,37.48,30.99,13.5
BG32,Severen tsentralen,2019-10-01,39.65,36,18.35
BG33,Severoiztochen,2019-10-01,33.63,26.04,19.24
BG34,Yugoiztochen,2019-10-01,35.91,31.66,12.24
BG41,Yugozapaden,2019-10-01,45.18,33.5,6.69
BG42,Yuzhen tsentralen,2019-10-01,41.25,39.47,11.29
CH01,Région lémanique,2019-10-01,110.04,70.48,12.94
CH02,Espace Mittelland,2019-10-01,106.14,59.44,12.83
CH03,Nordwestschweiz,2019-10-01,115.62,51.72,12.34
CH04,Zürich,2019-10-01,129.07,77.42,9.77
CH05,Ostschweiz,2019-10-01,97.66,55.56,13.85
CH06,Zentralschweiz,2019-10-01,105.85,56.28,11.64
CH07,Ticino,2019-10-01,86.49,49.08,17.66
CY00,Kýpros,2019-10-01,19.5,5.48,24.56
CZ01,Praha,2019-10-01,56.69,22.47,13.26
CZ02,Střední Čechy,2019-10-01,34.21,22.23,16.99
CZ03,Jihozápad,2019-10-01,35.36,27.57,15.04
CZ04,Severozápad,2019-10-01,39.87,22.28,16.84
CZ05,Severovýchod,2019-10-01,30.32,16.88,18.08
CZ06,Jihovýchod,2019-10-01,36.57,19.77,18.79
CZ07,Střední Morava,2019-10-01,30.69,16.84,21.61
CZ08,Moravskoslezsko,2019-10-01,34.35,18.37,23.96
DE11,Stuttgart,2019-10-01,64.73,13.39,21.47
DE12,Karlsruhe,2019-10-01,69.18,13.75,19.76
DE13,Freiburg,2019-10-01,64.44,14.08,25.51
DE14,Tübingen,2019-10-01,61.14,12.13,26.33
DE21,Oberbayern,2019-10-01,65.59,20.09,16.61
DE22,Niederbayern,2019-10-01,58.02,18.75,23.01
DE23,Oberpfalz,2019-10-01,58.46,16.21,24.47
DE24,Oberfranken,2019-10-01,62.84,17.12,23.18
DE25,Mittelfranken,2019-10-01,64.23,17.26,21.87
DE26,Unterfranken,2019-10-01,58.58,17.97,20.5
DE27,Schwaben,2019-10-01,61.12,16.55,22.34
DE30,Berlin,2019-10-01,74.7,17.54,17.42
DE40,Brandenburg,2019-10-01,51.28,14.69,21.69
DE50,Bremen,2019-10-01,75.3,18.94,22.51
DE60,Hamburg,2019-10-01,68.64,21.74,17.48
DE71,Darmstadt,2019-10-01,72.58,17.56,14.57
DE72,Gießen,2019-10-01,56.7,16.12,16.1
DE73,Kassel,2019-10-01,61.3,23.1,22.76
DE80,Mecklenburg-Vorpommern,2019-10-01,50.64,18.36,32.1
DE91,Braunschweig,2019-10-01,61.99,18.9,25.66
DE92,Hannover,2019-10-01,66.99,22.89,21.06
DE93,Lüneburg,2019-10-01,61.94,22.34,23.71
DE94,Weser-Ems,2019-10-01,60.89,25.03,24.52
DEA1,Düsseldorf,2019-10-01,81.17,23.18,15.91
DEA2,Köln,2019-10-01,66.38,20.14,17.33
DEA3,Münster,2019-10-01,78.87,32.27,18.24
DEA4,Detmold,2019-10-01,58.05,17.12,24.06
DEA5,Arnsberg,2019-10-01,76.49,15.2,18.5
