id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2019-04-01,12.03,6.74,33.91
AL02,Qender,2019-04-01,20.44,8.8,22.39
AL03,Jug,2019-04-01,14.39,8.54,30.64
AT11,Burgenland,2019-04-01,35.46,10.84,27.65
AT12,Niederösterreich,2019-04-01,34.3,12.75,25.28
AT13,Wien,2019-04-01,58.25,14.09,20.67
AT21,Kärnten,2019-04-01,28.16,10.17,37.62
AT22,Steiermark,2019-04-01,31.65,10.48,31.4
AT31,Oberösterreich,2019-04-01,34.5,11.19,30.46
AT32,Salzburg,2019-04-01,27.08,10.43,29.12
AT33,Tirol,2019-04-01,41.64,11.54,24.01
AT34,Vorarlberg,2019-04-01,42.12,11.47,40.67
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2019-04-01,57.05,13.74,17.25
BE21,Prov. Antwerpen,2019-04-01,71.98,15.78,16.22
BE22,Prov. Limburg (BE),2019-04-01,76.12,15.3,16.26
BE23,Prov. Oost-Vlaanderen,2019-04-01,76.54,15.52,16.68
BE24,Prov. Vlaams-Brabant,2019-04-01,73.21,15.44,15.85
BE25,Prov. West-Vlaanderen,2019-04-01,67.6,14.77,17.19
BE31,Prov. Brabant Wallon,2019-04-01,53.93,11.28,15.48
BE32,Prov. Hainaut,2019-04-01,53.16,11.07,19.01
BE33,Prov. Liège,2019-04-01,50.9,10.19,20.22
BE34,Prov. Luxembourg (BE),2019-04-01,39.63,9.52,35.53
BE35,Prov. Namur,2019-04-01,44.85,9.68,28.01
BG31,Severozapaden,2019-04-01,30.96,22.55,24.48
BG32,Severen tsentralen,2019-04-01,39.88,37.9,27.94
BG33,Severoiztochen,2019-04-01,29.52,20.17,22.46
BG34,Yugoiztochen,2019-04-01,28.69,24.4,17.58
BG41,Yugozapaden,2019-04-01,44.7,30.64,8.84
BG42,Yuzhen tsentralen,2019-04-01,44.71,38.49,13.63
CH01,Région lémanique,2019-04-01,90.28,56.09,16.95
CH02,Espace Mittelland,2019-04-01,81.69,45.19,18.5
CH03,Nordwestschweiz,2019-04-01,95.5,41.1,16.16
CH04,Zürich,2019-04-01,106.42,61.17,13.8
CH05,Ostschweiz,2019-04-01,78.18,41.75,18.24
CH06,Zentralschweiz,2019-04-01,91.07,47.51,16.62
CH07,Ticino,2019-04-01,74.46,39.75,25.16
CY00,Kýpros,2019-04-01,18.32,4.7,26.23
CZ01,Praha,2019-04-01,50.13,20.34,16.53
CZ02,Střední Čechy,2019-04-01,29.94,17.1,20.73
CZ03,Jihozápad,2019-04-01,31.05,22.17,19.32
CZ04,Severozápad,2019-04-01,36.3,16.76,22.18
CZ05,Severovýchod,2019-04-01,26.92,13.25,22.62
CZ06,Jihovýchod,2019-04-01,36.37,16.97,22.49
CZ07,Střední Morava,2019-04-01,30.44,14.58,26.63
CZ08,Moravskoslezsko,2019-04-01,30.81,15.49,31.49
DE11,Stuttgart,2019-04-01,62.68,13.41,23.71
DE12,Karlsruhe,2019-04-01,58.82,12.68,22.45
DE13,Freiburg,2019-04-01,51.92,12.46,31.43
DE14,Tübingen,2019-04-01,52.21,11.21,32.51
DE21,Oberbayern,2019-04-01,55.27,17.78,23.89
DE22,Niederbayern,2019-04-01,48.29,15.62,25.75
DE23,Oberpfalz,2019-04-01,50.81,15.3,24.05
DE24,Oberfranken,2019-04-01,53.88,14.68,26.17
DE25,Mittelfranken,2019-04-01,56.15,16.09,23.91
DE26,Unterfranken,2019-04-01,52.58,15.83,24.03
DE27,Schwaben,2019-04-01,48.27,14.19,28.76
DE30,Berlin,2019-04-01,59.93,15.72,20.71
DE40,Brandenburg,2019-04-01,42.32,12.82,27.94
DE50,Bremen,2019-04-01,57.84,16.59,23.25
DE60,Hamburg,2019-04-01,54.01,19.93,16.29
DE71,Darmstadt,2019-04-01,66.87,17.06,17.38
DE72,Gießen,2019-04-01,57.76,15.34,17
DE73,Kassel,2019-04-01,50.72,13.87,26.88
DE80,Mecklenburg-Vorpommern,2019-04-01,34.77,12.32,41.52
DE91,Braunschweig,2019-04-01,47.22,15.39,26.91
DE92,Hannover,2019-04-01,49.9,15.99,22.29
DE93,Lüneburg,2019-04-01,50.67,18.7,26.55
