id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2019-07-01,13.3,7.18,30.14
AL02,Qender,2019-07-01,21.16,9.35,21.6
AL03,Jug,2019-07-01,14.32,8.2,33.26
AT11,Burgenland,2019-07-01,42.33,11.13,19.18
AT12,Niederösterreich,2019-07-01,38.4,14.79,18.31
AT13,Wien,2019-07-01,53.34,15.62,15.99
AT21,Kärnten,2019-07-01,26.3,9.45,29.9
AT22,Steiermark,2019-07-01,30.17,10.01,23.82
AT31,Oberösterreich,2019-07-01,38.55,11.61,22.33
AT32,Salzburg,2019-07-01,28.34,10.3,25.89
AT33,Tirol,2019-07-01,37.98,11.12,26.29
AT34,Vorarlberg,2019-07-01,35.51,9.79,31.33
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2019-07-01,58.43,14.2,16.08
BE21,Prov. Antwerpen,2019-07-01,80.71,16.4,14.57
BE22,Prov. Limburg (BE),2019-07-01,77.78,15.83,15.77
BE23,Prov. Oost-Vlaanderen,2019-07-01,80.18,15.89,15.21
BE24,Prov. Vlaams-Brabant,2019-07-01,79.74,16.15,14.42
BE25,Prov. West-Vlaanderen,2019-07-01,68.03,15.45,16.86
BE31,Prov. Brabant Wallon,2019-07-01,56.75,11.46,15.97
BE32,Prov. Hainaut,2019-07-01,53.7,11.73,15.52
BE33,Prov. Liège,2019-07-01,51.1,11.33,17.16
BE34,Prov. Luxembourg (BE),2019-07-01,42.37,11.13,30.06
BE35,Prov. Namur,2019-07-01,43.99,9.92,44.73
BG31,Severozapaden,2019-07-01,34.39,27.46,14.62
BG32,Severen tsentralen,2019-07-01,35.75,33.54,25.71
BG33,Severoiztochen,2019-07-01,28.04,20.65,22.32
BG34,Yugoiztochen,2019-07-01,26.02,23.1,17.67
BG41,Yugozapaden,2019-07-01,46.17,32.17,7.22
BG42,Yuzhen tsentralen,2019-07-01,43.1,37.72,12.59
CH01,Région lémanique,2019-07-01,90.98,55.6,14.68
CH02,Espace Mittelland,2019-07-01,85.45,44.95,16.36
CH03,Nordwestschweiz,2019-07-01,100.76,42.16,13.99
CH04,Zürich,2019-07-01,110.58,62,11.29
CH05,Ostschweiz,2019-07-01,82.37,42.96,15.88
CH06,Zentralschweiz,2019-07-01,93.12,46.49,13.83
CH07,Ticino,2019-07-01,78.54,42.37,21.5
CY00,Kýpros,2019-07-01,19.15,5.53,24.73
CZ01,Praha,2019-07-01,57.43,21.47,13.61
CZ02,Střední Čechy,2019-07-01,32.56,20.18,17.19
CZ03,Jihozápad,2019-07-01,34.9,26.41,17
CZ04,Severozápad,2019-07-01,38.36,19.48,17.95
CZ05,Severovýchod,2019-07-01,29.36,15.35,20.27
CZ06,Jihovýchod,2019-07-01,38.53,18.78,20.33
CZ07,Střední Morava,2019-07-01,31.43,17.02,22.46
CZ08,Moravskoslezsko,2019-07-01,33.21,16.83,25.99
DE11,Stuttgart,2019-07-01,60.95,13.72,22.81
DE12,Karlsruhe,2019-07-01,61.97,13.73,21.51
DE13,Freiburg,2019-07-01,58.32,14.55,26.82
DE14,Tübingen,2019-07-01,58.39,13.26,27.37
DE21,Oberbayern,2019-07-01,58.77,18.49,18.86
DE22,Niederbayern,2019-07-01,53.08,16.02,23.28
DE23,Oberpfalz,2019-07-01,57.77,15.72,24.18
DE24,Oberfranken,2019-07-01,63.03,16.25,23.94
DE25,Mittelfranken,2019-07-01,62.4,16.16,22.31
DE26,Unterfranken,2019-07-01,61.03,18.54,21.14
DE27,Schwaben,2019-07-01,54.6,15.47,24.73
DE30,Berlin,2019-07-01,72.15,16.93,16.58
DE40,Brandenburg,2019-07-01,47.21,13.13,23.31
DE50,Bremen,2019-07-01,78.08,18.63,23.08
DE60,Hamburg,2019-07-01,67.06,20.38,16.94
DE71,Darmstadt,2019-07-01,71.55,17.34,15.74
DE72,Gießen,2019-07-01,55.8,15.24,17.74
DE73,Kassel,2019-07-01,55.47,16.6,23.99
DE80,Mecklenburg-Vorpommern,2019-07-01,44.05,13.18,35.77
DE91,Braunschweig,2019-07-01,59.04,17.34,26.81
DE92,Hannover,2019-07-01,63.73,20.03,20.92
DE93,Lüneburg,2019-07-01,58.68,20.12,26.22
