id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2022-01-01,34.1,19.37,17.39
AL02,Qender,2022-01-01,51.07,18.69,12.86
AL03,Jug,2022-01-01,32.6,17.63,14.19
AT11,Burgenland,2022-01-01,73.77,17.91,15.83
AT12,Niederösterreich,2022-01-01,73.32,19.95,14.84
AT13,Wien,2022-01-01,125.72,28.27,11.06
AT21,Kärnten,2022-01-01,62.99,16.34,19.99
AT22,Steiermark,2022-01-01,63.98,17.04,18.6
AT31,Oberösterreich,2022-01-01,67.65,22.1,14.95
AT32,Salzburg,2022-01-01,57.33,16.96,15.98
AT33,Tirol,2022-01-01,71.08,18.29,21.85
AT34,Vorarlberg,2022-01-01,81.63,18.97,27.72
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2022-01-01,115.38,22.95,12.56
BE21,Prov. Antwerpen,2022-01-01,135.08,22.83,13.27
BE22,Prov. Limburg (BE),2022-01-01,132.09,21.47,13.77
BE23,Prov. Oost-Vlaanderen,2022-01-01,135.45,22.79,13.98
BE24,Prov. Vlaams-Brabant,2022-01-01,130.92,21.95,13.57
BE25,Prov. West-Vlaanderen,2022-01-01,124.41,21.58,14.77
BE31,Prov. Brabant Wallon,2022-01-01,95.87,17.06,16.48
BE32,Prov. Hainaut,2022-01-01,104.33,18.79,15.18
BE33,Prov. Liège,2022-01-01,97.92,15.96,16.55
BE34,Prov. Luxembourg (BE),2022-01-01,75.84,15.96,19.2
BE35,Prov. Namur,2022-01-01,90.07,16.63,17.79
BG31,Severozapaden,2022-01-01,68.86,50.51,12.13
BG32,Severen tsentralen,2022-01-01,61.01,50.44,13.85
BG33,Severoiztochen,2022-01-01,70.92,55.05,14.17
BG34,Yugoiztochen,2022-01-01,67.09,57.16,9.84
BG41,Yugozapaden,2022-01-01,91.5,71.97,5.44
BG42,Yuzhen tsentralen,2022-01-01,69.08,61.23,9.16
CH01,Région lémanique,2022-01-01,192.25,124.38,9.4
CH02,Espace Mittelland,2022-01-01,187.28,96.61,10.97
CH03,Nordwestschweiz,2022-01-01,196.72,96.61,10.01
CH04,Zürich,2022-01-01,225.01,134.24,8.02
CH05,Ostschweiz,2022-01-01,179.06,107.46,10.25
CH06,Zentralschweiz,2022-01-01,197.74,115.61,8.95
CH07,Ticino,2022-01-01,163.44,95.13,12.87
CY00,Kýpros,2022-01-01,49.56,18.53,16.4
CZ01,Praha,2022-01-01,114.91,42.64,11.17
CZ02,Střední Čechy,2022-01-01,62.34,35.59,15.07
CZ03,Jihozápad,2022-01-01,67.13,40.67,13.77
CZ04,Severozápad,2022-01-01,79.44,42.9,14.82
CZ05,Severovýchod,2022-01-01,56.48,30.13,16.78
CZ06,Jihovýchod,2022-01-01,75.23,35.25,15.31
CZ07,Střední Morava,2022-01-01,62.5,31.51,20.3
CZ08,Moravskoslezsko,2022-01-01,71.22,32.95,22.19
DE11,Stuttgart,2022-01-01,136.06,24.52,17.22
DE12,Karlsruhe,2022-01-01,131.55,22.37,16.89
DE13,Freiburg,2022-01-01,117.61,24.53,19.42
DE14,Tübingen,2022-01-01,112.41,20.82,20.07
DE21,Oberbayern,2022-01-01,120.58,31.21,14.41
DE22,Niederbayern,2022-01-01,98.2,26.9,16.34
DE23,Oberpfalz,2022-01-01,103.41,26,18.33
DE24,Oberfranken,2022-01-01,110.95,26.58,18.26
DE25,Mittelfranken,2022-01-01,116.75,29.51,16.78
DE26,Unterfranken,2022-01-01,105.59,26.55,19.98
DE27,Schwaben,2022-01-01,117.26,25.24,17.29
DE30,Berlin,2022-01-01,135.43,26.14,14.12
DE40,Brandenburg,2022-01-01,95.44,26.84,16.3
DE50,Bremen,2022-01-01,138.52,27.8,17.21
DE60,Hamburg,2022-01-01,128.14,30.92,13.1
DE71,Darmstadt,2022-01-01,130.75,28.26,14.21
DE72,Gießen,2022-01-01,105.69,34.16,14.09
DE73,Kassel,2022-01-01,114.8,35.88,16.45
DE80,Mecklenburg-Vorpommern,2022-01-01,92.63,29.78,19.99
DE91,Braunschweig,2022-01-01,131.05,45.96,17.64
DE92,Hannover,2022-01-01,124.89,40.53,17.98
DE93,Lüneburg,2022-01-01,119.13,39.04,18.32
DE94,Weser-Ems,2022-01-01,102.68,31.52,21.64
DEA1,Düsseldorf,2022-01-01,136.8,33.81,13.63
DEA2,Köln,2022-01-01,118.33,33.67,13.9
DEA3,Münster,2022-01-01,131.1,45.88,15.7
DEA4,Detmold,2022-01-01,111.2,37.17,18.48
DEA5,Arnsberg,2022-01-01,125.02,26.54,15.85
DEB1,Koblenz,2022-01-01,95.43,22.54,18.96
DEB2,Trier,2022-01-01,87.37,23.78,21.47
DEB3,Rheinhessen-Pfalz,2022-01-01,124.35,25.72,18.3
DEC0,Saarland,2022-01-01,112.55,24.14,19.62
DED2,Dresden,2022-01-01,91.57,23.9,20.11
DED4,Chemnitz,2022-01-01,83.2,22.64,21.75
DED5,Leipzig,2022-01-01,115.13,31.04,17.68
DEE0,Sachsen-Anhalt,2022-01-01,86.66,26.29,20.25
DEF0,Schleswig-Holstein,2022-01-01,130.19,43.23,13.82
DEG0,Thüringen,2022-01-01,79.05,20.69,22.4
DK01,Hovedstaden,2022-01-01,207.18,131.27,10.22
DK02,Sjælland,2022-01-01,198.29,156.64,8.44
DK03,Syddanmark,2022-01-01,167.88,130.9,9.76
DK04,Midtjylland,2022-01-01,182.01,127.23,9.98
DK05,Nordjylland,2022-01-01,175.69,131.29,11.52
EE00,Eesti,2022-01-01,90.96,73.02,9.72
EL30,Attiki,2022-01-01,47.62,8.42,14.48
EL41,Voreio Aigaio,2022-01-01,33.34,5.01,29.52
EL42,Notio Aigaio,2022-01-01,33.2,5.22,26.45
EL43,Kriti,2022-01-01,31.07,5.14,23.79
EL51,"Anatoliki Makedonia, Thraki",2022-01-01,35.7,5.55,28.33
EL52,Kentriki Makedonia,2022-01-01,43.45,9.93,19.71
EL53,Dytiki Makedonia,2022-01-01,33.07,4.84,27.58
EL54,Ipeiros,2022-01-01,32.24,4.98,29.17
EL61,Thessalia,2022-01-01,33.04,5.12,24.3
EL62,Ionia Nisia,2022-01-01,25.94,4.19,32.94
EL63,Dytiki Elláda,2022-01-01,33.87,4.98,23.42
EL64,Sterea Elláda,2022-01-01,28.58,4.35,24.41
EL65,Peloponnisos,2022-01-01,29.42,4.99,24.59
