id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2022-04-01,40.78,21.61,13.08
AL02,Qender,2022-04-01,51.92,20.43,9.87
AL03,Jug,2022-04-01,33.28,20.32,13.13
AT11,Burgenland,2022-04-01,76.06,17.63,15.49
AT12,Niederösterreich,2022-04-01,74.95,20.12,14.06
AT13,Wien,2022-04-01,124.82,29.1,11.25
AT21,Kärnten,2022-04-01,62.7,16.03,20.78
AT22,Steiermark,2022-04-01,66.62,18.31,18.2
AT31,Oberösterreich,2022-04-01,70.41,23.4,15.37
AT32,Salzburg,2022-04-01,62.17,18.08,15.07
AT33,Tirol,2022-04-01,75.06,20.78,19.75
AT34,Vorarlberg,2022-04-01,82.21,20.55,25.59
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2022-04-01,117.38,28.97,12.63
BE21,Prov. Antwerpen,2022-04-01,132.82,24.74,13.55
BE22,Prov. Limburg (BE),2022-04-01,130.31,21.97,14.13
BE23,Prov. Oost-Vlaanderen,2022-04-01,131.99,25.01,13.96
BE24,Prov. Vlaams-Brabant,2022-04-01,128.51,24.97,13.21
BE25,Prov. West-Vlaanderen,2022-04-01,121.2,22.88,14.89
BE31,Prov. Brabant Wallon,2022-04-01,99.83,19.4,14.95
BE32,Prov. Hainaut,2022-04-01,104.83,21.98,15.4
BE33,Prov. Liège,2022-04-01,102.82,20.12,16.55
BE34,Prov. Luxembourg (BE),2022-04-01,79.21,19.25,20.89
BE35,Prov. Namur,2022-04-01,92.25,18.47,18.72
BG31,Severozapaden,2022-04-01,70.12,54.83,11.79
BG32,Severen tsentralen,2022-04-01,60.16,53.13,14.15
BG33,Severoiztochen,2022-04-01,72.76,56.95,12.15
BG34,Yugoiztochen,2022-04-01,64.28,54.09,10.45
BG41,Yugozapaden,2022-04-01,97.44,77.36,5.47
BG42,Yuzhen tsentralen,2022-04-01,72.71,64.21,9.48
BIH.1_1,Brčko,2022-04-01,24.84,7.2,24.11
BIH.2_1,Federacija Bosna i Hercegovina,2022-04-01,47.93,8.76,19.89
BIH.3_1,Repuplika Srpska,2022-04-01,36.84,13.63,15.15
CH01,Région lémanique,2022-04-01,211.37,139.15,9.03
CH02,Espace Mittelland,2022-04-01,194.91,104.07,11.24
CH03,Nordwestschweiz,2022-04-01,198.55,98.25,10.48
CH04,Zürich,2022-04-01,220.16,135.38,8.21
CH05,Ostschweiz,2022-04-01,186.17,113.14,10.16
CH06,Zentralschweiz,2022-04-01,200.44,119.8,9.09
CH07,Ticino,2022-04-01,168.52,96.32,14.06
CY00,Kýpros,2022-04-01,52.22,20.35,15.28
CZ01,Praha,2022-04-01,117.99,50.66,10.84
CZ02,Střední Čechy,2022-04-01,60.09,35.48,15.43
CZ03,Jihozápad,2022-04-01,68.12,41.66,14.91
CZ04,Severozápad,2022-04-01,80.99,47,14.47
CZ05,Severovýchod,2022-04-01,56.15,31.73,16.39
CZ06,Jihovýchod,2022-04-01,73.29,37.36,15.54
CZ07,Střední Morava,2022-04-01,62.28,32.52,18.61
CZ08,Moravskoslezsko,2022-04-01,74,37.66,20.5
DE11,Stuttgart,2022-04-01,139.37,25.8,16.97
DE12,Karlsruhe,2022-04-01,133.21,24.19,16.44
DE13,Freiburg,2022-04-01,118.68,25.93,19.32
DE14,Tübingen,2022-04-01,110.72,21.93,19.95
DE21,Oberbayern,2022-04-01,120.3,32.39,15.54
DE22,Niederbayern,2022-04-01,92.86,26.05,16.47
DE23,Oberpfalz,2022-04-01,100.14,27.32,18.15
DE24,Oberfranken,2022-04-01,106.95,25.5,17.78
DE25,Mittelfranken,2022-04-01,117.55,30.53,16.08
DE26,Unterfranken,2022-04-01,102.93,27.77,17.33
DE27,Schwaben,2022-04-01,112.07,25.08,17.78
DE30,Berlin,2022-04-01,135.72,28,13.45
DE40,Brandenburg,2022-04-01,92.06,26.35,16.85
