id,name,quarter,avg_d,avg_u,avg_l
AL01,Veri,2020-10-01,21.31,14.26,19.45
AL02,Qender,2020-10-01,29.97,11.44,15.52
AL03,Jug,2020-10-01,21.03,13.05,21.07
AT11,Burgenland,2020-10-01,56.31,14.63,16.19
AT12,Niederösterreich,2020-10-01,52.52,15.29,15.14
AT13,Wien,2020-10-01,88.96,22.02,11.24
AT21,Kärnten,2020-10-01,44.9,12.93,21.95
AT22,Steiermark,2020-10-01,46.71,13.05,19.27
AT31,Oberösterreich,2020-10-01,49.23,15.41,17.39
AT32,Salzburg,2020-10-01,44.74,11.5,16.71
AT33,Tirol,2020-10-01,56.98,15.14,22.31
AT34,Vorarlberg,2020-10-01,62.24,14.56,29.89
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2020-10-01,81.53,16.36,13.18
BE21,Prov. Antwerpen,2020-10-01,106.06,18.67,13.35
BE22,Prov. Limburg (BE),2020-10-01,101.3,18.78,14.43
BE23,Prov. Oost-Vlaanderen,2020-10-01,104.83,18.97,14.08
BE24,Prov. Vlaams-Brabant,2020-10-01,105.53,18.35,13.21
BE25,Prov. West-Vlaanderen,2020-10-01,93.79,18,15.61
BE31,Prov. Brabant Wallon,2020-10-01,65.32,13.47,14.16
BE32,Prov. Hainaut,2020-10-01,68.97,14.39,15.46
BE33,Prov. Liège,2020-10-01,65.46,12.87,15.7
BE34,Prov. Luxembourg (BE),2020-10-01,50.25,13.18,22.74
BE35,Prov. Namur,2020-10-01,65.11,13.23,16.91
BG31,Severozapaden,2020-10-01,46.41,38.08,12.1
BG32,Severen tsentralen,2020-10-01,43.82,42.09,12.7
BG33,Severoiztochen,2020-10-01,47.53,33.81,13.22
BG34,Yugoiztochen,2020-10-01,45,39.78,9.88
BG41,Yugozapaden,2020-10-01,60.97,47.34,5.62
BG42,Yuzhen tsentralen,2020-10-01,50.86,47.53,9.17
CH01,Région lémanique,2020-10-01,142.91,93.46,8.87
CH02,Espace Mittelland,2020-10-01,133.04,72.01,11.47
CH03,Nordwestschweiz,2020-10-01,138.06,66.4,10.04
CH04,Zürich,2020-10-01,166.2,102.76,7.99
CH05,Ostschweiz,2020-10-01,125.63,75.05,11.01
CH06,Zentralschweiz,2020-10-01,142.34,81.87,9.69
CH07,Ticino,2020-10-01,114.09,70.83,14
CY00,Kýpros,2020-10-01,33.06,11.64,17.48
CZ01,Praha,2020-10-01,79.44,27.98,11.75
CZ02,Střední Čechy,2020-10-01,39.53,22.87,15.79
CZ03,Jihozápad,2020-10-01,43.92,28.27,15.41
CZ04,Severozápad,2020-10-01,49.37,27.28,16.78
CZ05,Severovýchod,2020-10-01,34.94,18.76,19.08
CZ06,Jihovýchod,2020-10-01,46.81,21.08,17.81
CZ07,Střední Morava,2020-10-01,37.2,19.45,20.2
CZ08,Moravskoslezsko,2020-10-01,42.69,20.75,23.46
DE11,Stuttgart,2020-10-01,96.52,19.67,18.17
DE12,Karlsruhe,2020-10-01,95.68,18.43,17.61
DE13,Freiburg,2020-10-01,83.12,20.1,21.99
